# Frequency Average_Intensity Standard_Deviation
0.000000000000000000e+00 6.863750531860011665e-06 5.063256291837319415e-06
4.447521269333333471e+00 7.539472476493911776e-06 4.718090984995868594e-06
8.895042538666666943e+00 9.892607359643414765e-06 5.033689335759016630e-06
1.334256380800000130e+01 1.486129571417447506e-05 8.419469625139435872e-06
1.779008507733333389e+01 2.387898485970684964e-05 1.501743844741246758e-05
2.223760634666667002e+01 3.868850622011428162e-05 2.533273157565347450e-05
2.668512761600000260e+01 6.110313308218938031e-05 4.086719675068328463e-05
3.113264888533333519e+01 9.273970185310848947e-05 6.306039482297511815e-05
3.558017015466666777e+01 1.347592196648081278e-04 9.251697576307394409e-05
4.002769142400000391e+01 1.876567015684848865e-04 1.286978427187926075e-04
4.447521269333334004e+01 2.511402486570284099e-04 1.699171560791582847e-04
4.892273396266666907e+01 3.241344803930686514e-04 2.135447468065365337e-04
5.337025523200000521e+01 4.049179779942736453e-04 2.563756906492291429e-04
5.781777650133334134e+01 4.913883128128237587e-04 2.951403235936482928e-04
6.226529777066667037e+01 5.814137670063037645e-04 3.270889313203409520e-04
6.671281903999999940e+01 6.732098324675109659e-04 3.505794489649206392e-04
7.116034030933333554e+01 7.656716203706653151e-04 3.656260699507508385e-04
7.560786157866667168e+01 8.585893486903518629e-04 3.744029627895869585e-04
8.005538284800000781e+01 9.526962444489997257e-04 3.817151035165547847e-04
8.450290411733334395e+01 1.049525325485844377e-03 3.951777366026578580e-04
8.895042538666668008e+01 1.151095101957161663e-03 4.242435613950780861e-04
9.339794665600000201e+01 1.259468438603168023e-03 4.772624933865327458e-04
9.784546792533333814e+01 1.376265006746220116e-03 5.579813955369410192e-04
1.022929891946666743e+02 1.502211260034222711e-03 6.644453702284293471e-04
1.067405104640000104e+02 1.636810001439424362e-03 7.904967836512036229e-04
1.111880317333333466e+02 1.778186072589976741e-03 9.277741083294892841e-04
1.156355530026666827e+02 1.923132067145936737e-03 1.067245134383151177e-03
1.200830742720000188e+02 2.067342543165595192e-03 1.200419163631077967e-03
1.245305955413333407e+02 2.205812604758701587e-03 1.320386880035265579e-03
1.289781168106666769e+02 2.333305409744451404e-03 1.422522773568461740e-03
1.334256380799999988e+02 2.444858872615984519e-03 1.504663609624553797e-03
1.378731593493333492e+02 2.536230451646202637e-03 1.566632160027802085e-03
1.423206806186666711e+02 2.604276963448730504e-03 1.609267473487756327e-03
1.467682018880000214e+02 2.647170067406066311e-03 1.633289315509998344e-03
1.512157231573333434e+02 2.664513939563647234e-03 1.638559926097198647e-03
1.556632444266666937e+02 2.657324089653497270e-03 1.623989897443841191e-03
1.601107656960000156e+02 2.627895106141012529e-03 1.588107019795829966e-03
1.645582869653333660e+02 2.579595268440127397e-03 1.529905899645914429e-03
1.690058082346666879e+02 2.516591486313357086e-03 1.449556749873338185e-03
1.734533295040000382e+02 2.443563732295453601e-03 1.348727741674132785e-03
1.779008507733333602e+02 2.365388797061480138e-03 1.230510267128931802e-03
1.823483720426666821e+02 2.286870902157313139e-03 1.099299226323070941e-03
1.867958933120000040e+02 2.212472421058493243e-03 9.610056105468929013e-04
1.912434145813333259e+02 2.146124337977550582e-03 8.241579427790816405e-04
1.956909358506666763e+02 2.091080558364489562e-03 7.021836654731156277e-04
2.001384571199999982e+02 2.049823722488403402e-03 6.157847474880630625e-04
2.045859783893333486e+02 2.024030732895434025e-03 5.889258459495309286e-04
2.090334996586666705e+02 2.014573214325587631e-03 6.310599250661430484e-04
2.134810209280000208e+02 2.021517673654483777e-03 7.262351122057349260e-04
2.179285421973333428e+02 2.044143074469679990e-03 8.489791000583573558e-04
2.223760634666666931e+02 2.080938541132856898e-03 9.797142083941667422e-04
2.268235847360000150e+02 2.129612272001169763e-03 1.107022733401999545e-03
2.312711060053333654e+02 2.187101202098998016e-03 1.225438076398812758e-03
2.357186272746666873e+02 2.249624208823528763e-03 1.333094914938105693e-03
2.401661485440000376e+02 2.312807637608680755e-03 1.429706815180453944e-03
2.446136698133333596e+02 2.371915430463470472e-03 1.514895595762853807e-03
2.490611910826666815e+02 2.422131103489062916e-03 1.587098738527903006e-03
2.535087123520000034e+02 2.458941926010868324e-03 1.643398350463102457e-03
2.579562336213333538e+02 2.478564288136884085e-03 1.680235293128788795e-03
2.624037548906667325e+02 2.478298747998815103e-03 1.694632900087479979e-03
2.668512761599999976e+02 2.456831376945886429e-03 1.685433204171784584e-03
2.712987974293333764e+02 2.414366387862607738e-03 1.654071793556056384e-03
2.757463186986666983e+02 2.352582642153051851e-03 1.604639445396503035e-03
2.801938399680000771e+02 2.274397166654821938e-03 1.543181345631905715e-03
2.846413612373333422e+02 2.183584910894018766e-03 1.476392251710842906e-03
2.890888825066666641e+02 2.084292852545315770e-03 1.410042623855488992e-03
2.935364037760000429e+02 1.980552775887378224e-03 1.347629265230282109e-03
2.979839250453333079e+02 1.875847944877892439e-03 1.289778497621182430e-03
3.024314463146666867e+02 1.772818375755579436e-03 1.234660138607861788e-03
3.068789675840000086e+02 1.673138059629983038e-03 1.179232021782821967e-03
3.113264888533333874e+02 1.577561822799473847e-03 1.120748453762133957e-03
3.157740101226666525e+02 1.486111043756129175e-03 1.057950544520887574e-03
3.202215313920000312e+02 1.398355737121249887e-03 9.916003789337578863e-04
3.246690526613333532e+02 1.313711426058023456e-03 9.242487759598296123e-04
3.291165739306667319e+02 1.231694642949461875e-03 8.593099767971486410e-04
3.335640951999999970e+02 1.152096174186034759e-03 7.997414970162957130e-04
3.380116164693333758e+02 1.075039873817726583e-03 7.467908848310317923e-04
3.424591377386666977e+02 1.000935308787060047e-03 6.994642021006003711e-04
3.469066590080000765e+02 9.303654474093824922e-04 6.550670492134804670e-04
3.513541802773333416e+02 8.639316983592968974e-04 6.104958055787012552e-04
3.558017015466667203e+02 8.021067436975615628e-04 5.635594123798408220e-04
3.602492228160000423e+02 7.451377431510498037e-04 5.137505494027265387e-04
3.646967440853333642e+02 6.930057738816469259e-04 4.622911263803126101e-04
3.691442653546666861e+02 6.454498335229147312e-04 4.116174533736584123e-04
3.735917866240000080e+02 6.020445750457134506e-04 3.645583501554543974e-04
3.780393078933333868e+02 5.623000117222746877e-04 3.234183079145834376e-04
3.824868291626666519e+02 5.257620160557530120e-04 2.892376549020860346e-04
3.869343504320000307e+02 4.920866315379893077e-04 2.615323075781828422e-04
3.913818717013333526e+02 4.610779624906065875e-04 2.386957451786196876e-04
3.958293929706667313e+02 4.326813993732336753e-04 2.188445748190680164e-04
4.002769142399999964e+02 4.069421301672844840e-04 2.006043802311930811e-04
4.047244355093333752e+02 3.839427517608562748e-04 1.834769471581779686e-04
4.091719567786666971e+02 3.637342058301047481e-04 1.677582770205139249e-04
4.136194780480000759e+02 3.462770407303521203e-04 1.541736388797624235e-04
4.180669993173333410e+02 3.314050963754529766e-04 1.434020397011727356e-04
4.225145205866667197e+02 3.188150601000334190e-04 1.356689026250950856e-04
4.269620418560000417e+02 3.080829742419598878e-04 1.305913518481578381e-04
4.314095631253333636e+02 2.987031806204782530e-04 1.273412758805941391e-04
4.358570843946666855e+02 2.901392763982285996e-04 1.249737576307948634e-04
4.403046056640000074e+02 2.818822767576882821e-04 1.226994729152285557e-04
4.447521269333333862e+02 2.735022306055789150e-04 1.199897694861471565e-04
4.491996482026667081e+02 2.646898963772420987e-04 1.165546191904148250e-04
4.536471694720000301e+02 2.552822168756877777e-04 1.122725536965656735e-04
4.580946907413333520e+02 2.452681897412840829e-04 1.071364298109161187e-04
4.625422120106667307e+02 2.347766404456702821e-04 1.012321403426420850e-04
4.669897332800000527e+02 2.240458523555038592e-04 9.474425932997200626e-05
4.714372545493333746e+02 2.133841130140820899e-04 8.796446540998564280e-05
4.758847758186666965e+02 2.031215716873499208e-04 8.127030064337534743e-05
4.803322970880000753e+02 1.935661257551499692e-04 7.506311759713235891e-05
4.847798183573333404e+02 1.849639014679186071e-04 6.966352937620269115e-05
4.892273396266667191e+02 1.774751698115736745e-04 6.521107919872567169e-05
4.936748608960000411e+02 1.711625845499589055e-04 6.162516170224077011e-05
4.981223821653333630e+02 1.659972881339042447e-04 5.867232124648418353e-05
5.025699034346666849e+02 1.618739466210400045e-04 5.610303494870671755e-05
5.070174247040000068e+02 1.586352543372370502e-04 5.378391245658697566e-05
5.114649459733333856e+02 1.560970444982276461e-04 5.175391615335052739e-05
5.159124672426667075e+02 1.540697762861038714e-04 5.018619117834833621e-05
5.203599885120000863e+02 1.523745565609383563e-04 4.927647656515225029e-05
5.248075097813334651e+02 1.508507229398037318e-04 4.911264373374697192e-05
5.292550310506667302e+02 1.493579810366154150e-04 4.960230728849738581e-05
5.337025523199999952e+02 1.477742669628310309e-04 5.049807465781062417e-05
5.381500735893333740e+02 1.459936243910656215e-04 5.149099028551467911e-05
5.425975948586667528e+02 1.439271843328925298e-04 5.230476924362525911e-05
5.470451161280000179e+02 1.415056413386802368e-04 5.274537533471253974e-05
5.514926373973333966e+02 1.386865295926304712e-04 5.271008081851968441e-05
5.559401586666666617e+02 1.354600229750649461e-04 5.217032261710051173e-05
5.603876799360001542e+02 1.318536295150476198e-04 5.114976365439214399e-05
5.648352012053334192e+02 1.279317813231741743e-04 4.970748379075269505e-05
5.692827224746666843e+02 1.237899745400949610e-04 4.792855365130754516e-05
5.737302437440000631e+02 1.195424581154144337e-04 4.591579359285279924e-05
5.781777650133333282e+02 1.153078955526114241e-04 4.378106816846723579e-05
5.826252862826667069e+02 1.111942155796322770e-04 4.162976928945789142e-05
5.870728075520000857e+02 1.072865305385584952e-04 3.954092462291078580e-05
5.915203288213333508e+02 1.036411153115593658e-04 3.755312979919484115e-05
5.959678500906666159e+02 1.002852567420218680e-04 3.566238065039161045e-05
6.004153713600001083e+02 9.722334405040409318e-05 3.383751818722799165e-05
6.048628926293333734e+02 9.444620746536830000e-05 3.204855486594933859e-05
6.093104138986667522e+02 9.194075734442976771e-05 3.029683329915432852e-05
6.137579351680000173e+02 8.969753652725301015e-05 2.863563451154006677e-05
6.182054564373333960e+02 8.771346828438450071e-05 2.717181764187052496e-05
6.226529777066667748e+02 8.598990490383505707e-05 2.604331563885725615e-05
6.271004989760000399e+02 8.452685766232827984e-05 2.537407183592666705e-05
6.315480202453333050e+02 8.331517477015011836e-05 2.522130975386799654e-05
6.359955415146667974e+02 8.232999042276603510e-05 2.554468200319785125e-05
6.404430627840000625e+02 8.152729669090881385e-05 2.621732006603428393e-05
6.448905840533334413e+02 8.084540993460965705e-05 2.706911333424166108e-05
6.493381053226667063e+02 8.021120664966940362e-05 2.793214580557648111e-05
6.537856265919999714e+02 7.955022793318280820e-05 2.866956814931618754e-05
6.582331478613334639e+02 7.879839545397878092e-05 2.918713324602270910e-05
6.626806691306667290e+02 7.791253125500890596e-05 2.943504935199786941e-05
6.671281903999999940e+02 7.687783967736199994e-05 2.940656949342819039e-05
6.715757116693333728e+02 7.571004414504263426e-05 2.913487947394838542e-05
6.760232329386667516e+02 7.445218887773658273e-05 2.868677755565683714e-05
6.804707542080000167e+02 7.316630064578228743e-05 2.815073398260048063e-05
6.849182754773333954e+02 7.192175739127002637e-05 2.761836081352850850e-05
6.893657967466666605e+02 7.078181507118921087e-05 2.716134809826744142e-05
6.938133180160001530e+02 6.979175614649032089e-05 2.681163501844874858e-05
6.982608392853334180e+02 6.896945046183392751e-05 2.655284392982705876e-05
7.027083605546666831e+02 6.830090605825563793e-05 2.632865628403158103e-05
7.071558818240000619e+02 6.774104520589356755e-05 2.606465629092417661e-05
7.116034030933334407e+02 6.721961050033547385e-05 2.569446034149162918e-05
7.160509243626667057e+02 6.665167053270299358e-05 2.518027031275557373e-05
7.204984456320000845e+02 6.595065304427958589e-05 2.451993858562431173e-05
7.249459669013333496e+02 6.504202361920887517e-05 2.373994662896395448e-05
7.293934881706667284e+02 6.387573807415205564e-05 2.287752622568919140e-05
7.338410094400001071e+02 6.243494098433647666e-05 2.196042949840058635e-05
7.382885307093333722e+02 6.073993435539268738e-05 2.099570607990472703e-05
7.427360519786667510e+02 5.884648060595241363e-05 1.997291106098773075e-05
7.471835732480000161e+02 5.683889532113727694e-05 1.887972202140433795e-05
7.516310945173333948e+02 5.481859553506425188e-05 1.772031934221459797e-05
7.560786157866667736e+02 5.289072624388596215e-05 1.652577637493386683e-05
7.605261370560000387e+02 5.115025653480831906e-05 1.535119855532753708e-05
7.649736583253333038e+02 4.967029811883724423e-05 1.426151918592892683e-05
7.694211795946667962e+02 4.849423778205228127e-05 1.331186906075984570e-05
7.738687008640000613e+02 4.763277979813689120e-05 1.253274375417999153e-05
7.783162221333334401e+02 4.706571801870774747e-05 1.192583016769677955e-05
7.827637434026667052e+02 4.674815730405137005e-05 1.147203087689774842e-05
7.872112646719999702e+02 4.661923725858619277e-05 1.114409042812068204e-05
7.916587859413334627e+02 4.661181677698531163e-05 1.091577315185841227e-05
7.961063072106667278e+02 4.666161289981167872e-05 1.076397332073702494e-05
8.005538284799999929e+02 4.671412239207282241e-05 1.066596578576937009e-05
8.050013497493333716e+02 4.672851531535969646e-05 1.059673736413581763e-05
8.094488710186667504e+02 4.667923643503088743e-05 1.052988883120768105e-05
8.138963922880001292e+02 4.655478893860760776e-05 1.044322554785247921e-05
8.183439135573333942e+02 4.635510191726795241e-05 1.032651145622322980e-05
8.227914348266666593e+02 4.608830736654288579e-05 1.018788760490364676e-05
8.272389560960001518e+02 4.576751725697468341e-05 1.005513467442801155e-05
8.316864773653334169e+02 4.540835132948778299e-05 9.968741172455779757e-06
8.361339986346666819e+02 4.502687020409693774e-05 9.967302020266415974e-06
8.405815199040000607e+02 4.463853440085871087e-05 1.006988025518020540e-05
8.450290411733334395e+02 4.425716822408129177e-05 1.026547534333282829e-05
8.494765624426668182e+02 4.389411374531672404e-05 1.051626895699254225e-05
8.539240837120000833e+02 4.355741978145023145e-05 1.077269141385881209e-05
8.583716049813333484e+02 4.325097584858322223e-05 1.099140481215348788e-05
8.628191262506667272e+02 4.297355608512845544e-05 1.114737960691002014e-05
8.672666475200001059e+02 4.271858400458979115e-05 1.123629108699863020e-05
8.717141687893333710e+02 4.247428272012644429e-05 1.126735636651535201e-05
8.761616900586667498e+02 4.222446586896262308e-05 1.125037104129415610e-05
8.806092113280000149e+02 4.195046467277279713e-05 1.118442442397829615e-05
8.850567325973333936e+02 4.163306997960771990e-05 1.105520854534545182e-05
8.895042538666667724e+02 4.125505981752746116e-05 1.084456789079172730e-05
8.939517751360000375e+02 4.080327140627432869e-05 1.054863805521851309e-05
8.983992964053334163e+02 4.027035280001885979e-05 1.019509563359667177e-05
9.028468176746667950e+02 3.965537836255171057e-05 9.848752770877431298e-06
9.072943389440000601e+02 3.896381862491924184e-05 9.594354091715353634e-06
9.117418602133334389e+02 3.820642412272085708e-05 9.496100219658620281e-06
9.161893814826667040e+02 3.739776897331984265e-05 9.554032356796468870e-06
9.206369027520000827e+02 3.655432305060657254e-05 9.692973082001301642e-06
9.250844240213334615e+02 3.569297417729773897e-05 9.795451583569336458e-06
9.295319452906667266e+02 3.482995369116320640e-05 9.752811610944421840e-06
9.339794665600001053e+02 3.398054128301164766e-05 9.503740358588260386e-06
9.384269878293333704e+02 3.315947493502800390e-05 9.050821539639537948e-06
9.428745090986667492e+02 3.238186779077835740e-05 8.458009611522421530e-06
9.473220303680001280e+02 3.166400032006417957e-05 7.831189231757150983e-06
9.517695516373333930e+02 3.102391273364248878e-05 7.283604415844925159e-06
9.562170729066666581e+02 3.048087277534750021e-05 6.891965183163330665e-06
9.606645941760001506e+02 3.005383855435259528e-05 6.666202717691029197e-06
9.651121154453334157e+02 2.975884186977548635e-05 6.558139863524617710e-06
9.695596367146666807e+02 2.960573049262679528e-05 6.503501826616895924e-06
9.740071579840000595e+02 2.959472683796819805e-05 6.459756880401545961e-06
9.784546792533334383e+02 2.971421091982159353e-05 6.418158012081324866e-06
9.829022005226668171e+02 2.993957988732421374e-05 6.394228257722962976e-06
9.873497217920000821e+02 3.023471464944137242e-05 6.411737420092305162e-06
9.917972430613333472e+02 3.055541439680535792e-05 6.490427171797477423e-06
9.962447643306667260e+02 3.085490263316197356e-05 6.640649442922534066e-06
1.000692285600000105e+03 3.109021951873808243e-05 6.860198785913069455e-06
