# Frequency Average_Intensity Standard_Deviation
3.157740101226666525e+02 1.347124412637280139e-03 1.094799489978709765e-03
3.202215313920000312e+02 1.297228467018626341e-03 1.077542449829075374e-03
3.246690526613333532e+02 1.238243856907419787e-03 1.043081300379151847e-03
3.291165739306667319e+02 1.172617147533248786e-03 9.947106038816597336e-04
3.335640951999999970e+02 1.103574417427543881e-03 9.371740605617748156e-04
3.380116164693333758e+02 1.034614259261323888e-03 8.758346430189203674e-04
3.424591377386666977e+02 9.689658503758633848e-04 8.155810949058049045e-04
3.469066590080000765e+02 9.091527557217749661e-04 7.599412537422199241e-04
3.513541802773333416e+02 8.567076589712141390e-04 7.107686919231647827e-04
3.558017015466667203e+02 8.120838516482773014e-04 6.686339314344325871e-04
3.602492228160000423e+02 7.747726218525621345e-04 6.336220989477440134e-04
3.646967440853333642e+02 7.435611635798072567e-04 6.058449381581750828e-04
3.691442653546666861e+02 7.168821002796837115e-04 5.853176899655970463e-04
3.735917866240000080e+02 6.931515317613698868e-04 5.713393541912358290e-04
3.780393078933333868e+02 6.710515838992454516e-04 5.620561115202910626e-04
3.824868291626666519e+02 6.496856008695403193e-04 5.546859597443346435e-04
3.869343504320000307e+02 6.286058816916941178e-04 5.463695513759491296e-04
3.913818717013333526e+02 6.077307947283944320e-04 5.351159360105522305e-04
3.958293929706667313e+02 5.871845648040545807e-04 5.203301867201281291e-04
4.002769142399999964e+02 5.671190424782349485e-04 5.027432646682900453e-04
4.047244355093333752e+02 5.475622966857219154e-04 4.838283379835751582e-04
4.091719567786666971e+02 5.283384215024656844e-04 4.649777060427840152e-04
4.136194780480000759e+02 5.090634196200662619e-04 4.468092254427658526e-04
4.180669993173333410e+02 4.892229851072813244e-04 4.289350917754032751e-04
4.225145205866667197e+02 4.682970106275365085e-04 4.102648587675845242e-04
4.269620418560000417e+02 4.459006189995224799e-04 3.896077078335085341e-04
4.314095631253333636e+02 4.219033461386504052e-04 3.662185526677037796e-04
4.358570843946666855e+02 3.964972359750758464e-04 3.400560344038374566e-04
4.403046056640000074e+02 3.701977862464619863e-04 3.117376255242053232e-04
4.447521269333333862e+02 3.437791058853247083e-04 2.823094796333595153e-04
4.491996482026667081e+02 3.181575421444231689e-04 2.529841619382780971e-04
4.536471694720000301e+02 2.942480137664628967e-04 2.249615093059647284e-04
4.580946907413333520e+02 2.728241799047061112e-04 1.993729390703402214e-04
4.625422120106667307e+02 2.544062951516321827e-04 1.772997109533642525e-04
4.669897332800000527e+02 2.391954772854479967e-04 1.597389411251446474e-04
4.714372545493333746e+02 2.270652985727146295e-04 1.473965212872141016e-04
4.758847758186666965e+02 2.176034441720658508e-04 1.403304996593469987e-04
4.803322970880000753e+02 2.101970368280908362e-04 1.377316023151032155e-04
4.847798183573333404e+02 2.041359559660478953e-04 1.381322916244404010e-04
4.892273396266667191e+02 1.987234584579457481e-04 1.399329799828264158e-04
4.936748608960000411e+02 1.933678959813315884e-04 1.418453855012606418e-04
4.981223821653333630e+02 1.876465778057927127e-04 1.430499209822053944e-04
5.025699034346666849e+02 1.813354016378689840e-04 1.431297439146860147e-04
5.070174247040000068e+02 1.744018893442866630e-04 1.419129317421130218e-04
5.114649459733333856e+02 1.669695299042325202e-04 1.393288447615302367e-04
5.159124672426667075e+02 1.592636659378446459e-04 1.353403619782039098e-04
5.203599885120000863e+02 1.515503719833323720e-04 1.299606850315215346e-04
5.248075097813334651e+02 1.440783168025068744e-04 1.233181616851171457e-04
5.292550310506667302e+02 1.370364521385440736e-04 1.157210277563345695e-04
5.337025523199999952e+02 1.305284378559187124e-04 1.076640159883279893e-04
5.381500735893333740e+02 1.245682775701290762e-04 9.975515233255380734e-05
5.425975948586667528e+02 1.190937369263750449e-04 9.256977027879298046e-05
5.470451161280000179e+02 1.139920340984969233e-04 8.647705427982730199e-05
5.514926373973333966e+02 1.091319760957710328e-04 8.152392793255979625e-05
5.559401586666666617e+02 1.043938210887054651e-04 7.744617166631643298e-05
5.603876799360001542e+02 9.969338334715124601e-05 7.380775683214932609e-05
5.648352012053334192e+02 9.499467891082015946e-05 7.017924877915827800e-05
5.692827224746666843e+02 9.031159638406377975e-05 6.626774382999737329e-05
5.737302437440000631e+02 8.569901424272796252e-05 6.196965616405211838e-05
5.781777650133333282e+02 8.123621467093043854e-05 5.736111290530174797e-05
5.826252862826667069e+02 7.700808526471498517e-05 5.266501334904488322e-05
5.870728075520000857e+02 7.308693668780495451e-05 4.820469925669118664e-05
5.915203288213333508e+02 6.951939778186664600e-05 4.435026347207830907e-05
5.959678500906666159e+02 6.631934353609311348e-05 4.143864025186863099e-05
6.004153713600001083e+02 6.346857400996919120e-05 3.966773869452703373e-05
6.048628926293333734e+02 6.092309513098231454e-05 3.900140969176036997e-05
6.093104138986667522e+02 5.862332470705728049e-05 3.916170376614361455e-05
6.137579351680000173e+02 5.650555914845022630e-05 3.973011799088878190e-05
6.182054564373333960e+02 5.451224940161532919e-05 4.028810271422407328e-05
6.226529777066667748e+02 5.259910050470286986e-05 4.052039967126144370e-05
6.271004989760000399e+02 5.073839190988851516e-05 4.025965840488239446e-05
6.315480202453333050e+02 4.891852353733288592e-05 3.948665333869057665e-05
6.359955415146667974e+02 4.714008608624946313e-05 3.829809182314344060e-05
6.404430627840000625e+02 4.541142692689828259e-05 3.685737276305886041e-05
6.448905840533334413e+02 4.374273879358146278e-05 3.533461640786442545e-05
6.493381053226667063e+02 4.214224854854844602e-05 3.385779736026203664e-05
6.537856265919999714e+02 4.061354917883637082e-05 3.248824978666260428e-05
6.582331478613334639e+02 3.915489686364167349e-05 3.123092261798574438e-05
6.626806691306667290e+02 3.776009119911640551e-05 3.006739837857977049e-05
6.671281903999999940e+02 3.642012123793203390e-05 2.898938409288899084e-05
6.715757116693333728e+02 3.512519397404535601e-05 2.801352603392057939e-05
6.760232329386667516e+02 3.386627145269494803e-05 2.717243589825996846e-05
6.804707542080000167e+02 3.263606002289532230e-05 2.649089294935002669e-05
6.849182754773333954e+02 3.142934578819319086e-05 2.596312779396602074e-05
6.893657967466666605e+02 3.024299216239309879e-05 2.554430743878104531e-05
6.938133180160001530e+02 2.907575899676282798e-05 2.516018860583406504e-05
6.982608392853334180e+02 2.792826518272434872e-05 2.472763864239520566e-05
7.027083605546666831e+02 2.680319919950523613e-05 2.417595023808961818e-05
7.071558818240000619e+02 2.570566811135016115e-05 2.346140763666188056e-05
7.116034030933334407e+02 2.464336856480620525e-05 2.257310696897301872e-05
7.160509243626667057e+02 2.362627435955698527e-05 2.153064460671416945e-05
7.204984456320000845e+02 2.266581910731110659e-05 2.037698234586768500e-05
7.249459669013333496e+02 2.177300358783046852e-05 1.916807197110538571e-05
7.293934881706667284e+02 2.095650712562518520e-05 1.796295441851976000e-05
7.338410094400001071e+02 2.022037004319317290e-05 1.681571618187055329e-05
7.382885307093333722e+02 1.956241998658362049e-05 1.577008095175727714e-05
7.427360519786667510e+02 1.897347507964920716e-05 1.485605281107941609e-05
7.471835732480000161e+02 1.843825724316394677e-05 1.408672256547074932e-05
7.516310945173333948e+02 1.793733727868009048e-05 1.345509026430490177e-05
7.560786157866667736e+02 1.745023920347179251e-05 1.293261723238859193e-05
7.605261370560000387e+02 1.695895848871395130e-05 1.247281544767442887e-05
7.649736583253333038e+02 1.645108236610971672e-05 1.202092931752477409e-05
7.694211795946667962e+02 1.592176286931544317e-05 1.152727968159945033e-05
7.738687008640000613e+02 1.537426767848031869e-05 1.095968119030229338e-05
7.783162221333334401e+02 1.481884333140179183e-05 1.031102896008061727e-05
7.827637434026667052e+02 1.427001778255873944e-05 9.599707509282545410e-06
7.872112646719999702e+02 1.374334460765295897e-05 8.863347916334481536e-06
7.916587859413334627e+02 1.325193378159979393e-05 8.147229624819320144e-06
7.961063072106667278e+02 1.280384329437614515e-05 7.490472466774714515e-06
8.005538284799999929e+02 1.240061804546607272e-05 6.914653788718284493e-06
8.050013497493333716e+02 1.203753387347713440e-05 6.420098651767374614e-06
8.094488710186667504e+02 1.170501682901212074e-05 5.991191495258789403e-06
8.138963922880001292e+02 1.139111519994082560e-05 5.607521448597706232e-06
8.183439135573333942e+02 1.108419145863855256e-05 5.253804059843807448e-06
8.227914348266666593e+02 1.077530723768441181e-05 4.923930573601949292e-06
8.272389560960001518e+02 1.045967396945173613e-05 4.618803943485687153e-06
8.316864773653334169e+02 1.013707072836156069e-05 4.341423790021063761e-06
8.361339986346666819e+02 9.811165791048629298e-06 4.092954794745542888e-06
8.405815199040000607e+02 9.488056873981798000e-06 3.871585455018434598e-06
8.450290411733334395e+02 9.174560940729100108e-06 3.674196223691641652e-06
8.494765624426668182e+02 8.876596517238947810e-06 3.497982521816650113e-06
8.539240837120000833e+02 8.598098923143768075e-06 3.340521085129284938e-06
8.583716049813333484e+02 8.340657872680066765e-06 3.198333088876634318e-06
8.628191262506667272e+02 8.103832945965852818e-06 3.065605502831982630e-06
8.672666475200001059e+02 7.885928962824900810e-06 2.934798756643268143e-06
8.717141687893333710e+02 7.684992800658924970e-06 2.799227939353226339e-06
8.761616900586667498e+02 7.499645230813060269e-06 2.656107954293383965e-06
8.806092113280000149e+02 7.329566311131442962e-06 2.508293452866809629e-06
8.850567325973333936e+02 7.175463371076885562e-06 2.363722531915444849e-06
8.895042538666667724e+02 7.038646077677408673e-06 2.232601920981206563e-06
8.939517751360000375e+02 6.920288070340547662e-06 2.123511585515193887e-06
8.983992964053334163e+02 6.820659614060783945e-06 2.040026862588400102e-06
9.028468176746667950e+02 6.738556729697838473e-06 1.979597967132886342e-06
9.072943389440000601e+02 6.671102263050067923e-06 1.934989659219823233e-06
9.117418602133334389e+02 6.613997370856120870e-06 1.897196079888613674e-06
9.161893814826667040e+02 6.562154430397967111e-06 1.858122848897514337e-06
9.206369027520000827e+02 6.510585887939922098e-06 1.812286493059595353e-06
9.250844240213334615e+02 6.455314587952621032e-06 1.757419867629046124e-06
9.295319452906667266e+02 6.394073124745247358e-06 1.694408348546552912e-06
9.339794665600001053e+02 6.326638249718195702e-06 1.626650483669315776e-06
9.384269878293333704e+02 6.254699857805680192e-06 1.559186888124550175e-06
9.428745090986667492e+02 6.181305054235903253e-06 1.497875444597037691e-06
9.473220303680001280e+02 6.110012282100406680e-06 1.448922489343699033e-06
9.517695516373333930e+02 6.043958978201352566e-06 1.418600565325999366e-06
9.562170729066666581e+02 5.985087214531879178e-06 1.412492742199282670e-06
9.606645941760001506e+02 5.933697292970843289e-06 1.433735537746849473e-06
9.651121154453334157e+02 5.888469264786403100e-06 1.480897286295873460e-06
9.695596367146666807e+02 5.846897881817642725e-06 1.547094899997769238e-06
9.740071579840000595e+02 5.806099980262810306e-06 1.621261614109702339e-06
9.784546792533334383e+02 5.763708848113589967e-06 1.691031556446080269e-06
9.829022005226668171e+02 5.718680101844190842e-06 1.745693044568962447e-06
9.873497217920000821e+02 5.671790611307085430e-06 1.778373822185698318e-06
9.917972430613333472e+02 5.625674998366145583e-06 1.787030113253508141e-06
9.962447643306667260e+02 5.584400707101119191e-06 1.774296687692698726e-06
1.000692285600000105e+03 5.552658132038008445e-06 1.746380924895620201e-06
1.005139806869333370e+03 5.534764768846454452e-06 1.711292299183702753e-06
1.009587328138666749e+03 5.533687353234487759e-06 1.676943910009768436e-06
1.014034849408000014e+03 5.550335948072709726e-06 1.649602684125480145e-06
1.018482370677333506e+03 5.583246461904453361e-06 1.633018323315148083e-06
1.022929891946666771e+03 5.628776586578367423e-06 1.628256035706113360e-06
1.027377413216000150e+03 5.681727173276393155e-06 1.634041222487452610e-06
