# Frequency Average_Intensity Standard_Deviation
1.512157231573333547e+03 4.266590902076795649e-04 3.012747262204863372e-04
1.519569767022222322e+03 4.715734320464900348e-04 3.460016256553630448e-04
1.526982302471111097e+03 5.405119919044577967e-04 4.072338317590768245e-04
1.534394837920000100e+03 6.328253219538540388e-04 4.808593613741749808e-04
1.541807373368889102e+03 7.392271769040320746e-04 5.533596674120675732e-04
1.549219908817777878e+03 8.419141946321769421e-04 6.076307880539162393e-04
1.556632444266666880e+03 9.184905310192946135e-04 6.318086732150523686e-04
1.564044979715555655e+03 9.486494756694698266e-04 6.260157366841870167e-04
1.571457515164444430e+03 9.210264892289234595e-04 6.019768667182782539e-04
1.578870050613333660e+03 8.373251423414140296e-04 5.730495674467013436e-04
1.586282586062222435e+03 7.119761992756438529e-04 5.419155709324440266e-04
1.593695121511111211e+03 5.675454726880536580e-04 5.007195190943588073e-04
1.601107656959999986e+03 4.279297662547305804e-04 4.441763496840927280e-04
1.608520192408888988e+03 3.120954219285820516e-04 3.796906937465118078e-04
1.615932727857777991e+03 2.304973254995851836e-04 3.257380781422112388e-04
1.623345263306666766e+03 1.848734519372607031e-04 3.005817018829452249e-04
1.630757798755555768e+03 1.706151497853756094e-04 3.087454154620992118e-04
1.638170334204444544e+03 1.801308686331674273e-04 3.401526142324837556e-04
1.645582869653333319e+03 2.056684368753833596e-04 3.809177296851860655e-04
1.652995405102222549e+03 2.407980570449276135e-04 4.200855790228142880e-04
1.660407940551111324e+03 2.805702573670879876e-04 4.515630090206058629e-04
1.667820476000000099e+03 3.209460304272825060e-04 4.735227627999776261e-04
1.675233011448889101e+03 3.582091246878413900e-04 4.853177641841055099e-04
1.682645546897777876e+03 3.888379469732535605e-04 4.848915563814632976e-04
1.690058082346666879e+03 4.099102713638840922e-04 4.695697569582738700e-04
1.697470617795555654e+03 4.198007409228732517e-04 4.389209370110659387e-04
1.704883153244444657e+03 4.187359988608953037e-04 3.963621541738353033e-04
1.712295688693333432e+03 4.088588534665472257e-04 3.484210714783672418e-04
1.719708224142222207e+03 3.936537984265611875e-04 3.027723636285973739e-04
