# Frequency Average_Intensity Standard_Deviation
3.632142369955555523e+02 1.086454622798575884e-03 8.373476725880684693e-04
3.706267724444444980e+02 1.029153059679059970e-03 7.933333993745272797e-04
3.780393078933333868e+02 9.671880082761246961e-04 7.416717500732473902e-04
3.854518433422222756e+02 9.005068937448269806e-04 6.863803411987361462e-04
3.928643787911111076e+02 8.305949692404227674e-04 6.291945069132342822e-04
4.002769142399999964e+02 7.602190659832571817e-04 5.702959339210077628e-04
4.076894496888889421e+02 6.927786247724735703e-04 5.122314113343856426e-04
4.151019851377778309e+02 6.313220261017169497e-04 4.600495170199488527e-04
4.225145205866667197e+02 5.775398076782149595e-04 4.181139396724663161e-04
4.299270560355555517e+02 5.311944204992299695e-04 3.865893945750622476e-04
4.373395914844444974e+02 4.903380205813479258e-04 3.618994171483899940e-04
4.447521269333333862e+02 4.522761503845153241e-04 3.396125133965803350e-04
4.521646623822222750e+02 4.148344711048088562e-04 3.164584481272345235e-04
4.595771978311111070e+02 3.772841890902750963e-04 2.914229512759627895e-04
4.669897332800000527e+02 3.404721463146875003e-04 2.650777222153760009e-04
4.744022687288889415e+02 3.061500933543575436e-04 2.388259391007497916e-04
4.818148041777778303e+02 2.759383122372119292e-04 2.142370037207802914e-04
4.892273396266667191e+02 2.505069958347170460e-04 1.925828228652915646e-04
4.966398750755555511e+02 2.293700019685478912e-04 1.743017115583858048e-04
5.040524105244444968e+02 2.112877090755985285e-04 1.590489543218883176e-04
5.114649459733333856e+02 1.949453031114254699e-04 1.462798896515316157e-04
5.188774814222223313e+02 1.794911391402830285e-04 1.354791699542791199e-04
5.262900168711112201e+02 1.646925775516515247e-04 1.261513376207876018e-04
5.337025523199999952e+02 1.507381160713172229e-04 1.175457961227689056e-04
5.411150877688889977e+02 1.379031465084936347e-04 1.089054389066491181e-04
5.485276232177778866e+02 1.263080196729280519e-04 1.000323462181977542e-04
5.559401586666666617e+02 1.158680716889350847e-04 9.105984571930677044e-05
5.633526941155556642e+02 1.063916289006718063e-04 8.212314691314968179e-05
5.707652295644444393e+02 9.770563484559700428e-05 7.346090227112903135e-05
5.781777650133333282e+02 8.971955571759234458e-05 6.542656340257793450e-05
5.855903004622223307e+02 8.240993758510851302e-05 5.839967365080073837e-05
5.930028359111111058e+02 7.576666283929910637e-05 5.251539470836360352e-05
6.004153713600001083e+02 6.975043187717390350e-05 4.743323500957974024e-05
6.078279068088888835e+02 6.428478288370615583e-05 4.267551089651157282e-05
6.152404422577777723e+02 5.927355944168109754e-05 3.806087627438323266e-05
6.226529777066667748e+02 5.462548429324734332e-05 3.376319154964849297e-05
6.300655131555555499e+02 5.027179671790689213e-05 3.009658680929287337e-05
6.374780486044445524e+02 4.617502332107487290e-05 2.711143021880194399e-05
6.448905840533334413e+02 4.232961301415458222e-05 2.453917599528169594e-05
6.523031195022222164e+02 3.875473964907925038e-05 2.210909253812925684e-05
6.597156549511112189e+02 3.547925447030339399e-05 1.972915944386542572e-05
