# Frequency Average_Intensity Standard_Deviation
0.000000000000000000e+00 7.251868532658404389e-06 5.467720079625258403e-06
4.447521269333333471e+00 8.078958063096246749e-06 5.546294467355172026e-06
8.895042538666666943e+00 1.073985325041691883e-05 6.377324818656795217e-06
1.334256380800000130e+01 1.576285811028742642e-05 8.773050776103599827e-06
1.779008507733333389e+01 2.399134843517112839e-05 1.276301061060241299e-05
2.223760634666667002e+01 3.652234257484707083e-05 1.847734205078109394e-05
2.668512761600000260e+01 5.461266862645556489e-05 2.665615454187855190e-05
3.113264888533333519e+01 7.955133556655435913e-05 3.823674663414173799e-05
3.558017015466666777e+01 1.125041608573568050e-04 5.382677014263900219e-05
4.002769142400000391e+01 1.543457783377972766e-04 7.353517812395749854e-05
4.447521269333334004e+01 2.055036767393459589e-04 9.706221024215418473e-05
4.892273396266666907e+01 2.658447071886608734e-04 1.238109131445982612e-04
5.337025523200000521e+01 3.346335832497513178e-04 1.529292822751819874e-04
5.781777650133334134e+01 4.105899402698079187e-04 1.833144339624289125e-04
6.226529777066667037e+01 4.920496397677352534e-04 2.136555499953223295e-04
6.671281903999999940e+01 5.772212934283478579e-04 2.425889618936288373e-04
7.116034030933333554e+01 6.645016622382457537e-04 2.689834206960898719e-04
7.560786157866667168e+01 7.527962633620075700e-04 2.923143476741240894e-04
8.005538284800000781e+01 8.417800957671127534e-04 3.130256546625658897e-04
8.450290411733334395e+01 9.320325450096084716e-04 3.327502824242431555e-04
8.895042538666668008e+01 1.024997181533977234e-03 3.542807192537312838e-04
9.339794665600000201e+01 1.122745071216574384e-03 3.812401320042655122e-04
9.784546792533333814e+01 1.227561281012933036e-03 4.175203767780742898e-04
1.022929891946666743e+02 1.341407457590308282e-03 4.666337409249031259e-04
1.067405104640000104e+02 1.465351075443800232e-03 5.310844821579396857e-04
1.111880317333333466e+02 1.599072422594390031e-03 6.117785712085215596e-04
1.156355530026666827e+02 1.740551931794350349e-03 7.074910564984663664e-04
1.200830742720000188e+02 1.886006927419796309e-03 8.145431919443305848e-04
1.245305955413333407e+02 2.030144807391908324e-03 9.269175936308453019e-04
1.289781168106666769e+02 2.166682553761688917e-03 1.036872125608617138e-03
1.334256380799999988e+02 2.289081466138720607e-03 1.136003751198694841e-03
1.378731593493333492e+02 2.391374835615850316e-03 1.216553363815231189e-03
1.423206806186666711e+02 2.468960326581059149e-03 1.272700964184384550e-03
1.467682018880000214e+02 2.519223472870938275e-03 1.301521903280829836e-03
1.512157231573333434e+02 2.541867010321116095e-03 1.303370056393807251e-03
1.556632444266666937e+02 2.538937038781940991e-03 1.281500156318390177e-03
1.601107656960000156e+02 2.514518086701320477e-03 1.240944369295918833e-03
1.645582869653333660e+02 2.474171358693675726e-03 1.186857462007917096e-03
1.690058082346666879e+02 2.424225433209410523e-03 1.122951027160724261e-03
1.734533295040000382e+02 2.371047094973446900e-03 1.050655891962639114e-03
1.779008507733333602e+02 2.320409074142964177e-03 9.695507083928040643e-04
1.823483720426666821e+02 2.277032572778750225e-03 8.789624620217878579e-04
1.867958933120000040e+02 2.244360534969848300e-03 7.802153363053711483e-04
1.912434145813333259e+02 2.224536584353671402e-03 6.789400003367599724e-04
1.956909358506666763e+02 2.218539423303870529e-03 5.871447954006412404e-04
2.001384571199999982e+02 2.226419338464865824e-03 5.237035379147632255e-04
2.045859783893333486e+02 2.247501371407219489e-03 5.081432232632489970e-04
2.090334996586666705e+02 2.280548496550452962e-03 5.456548668756913646e-04
2.134810209280000208e+02 2.323832452609223172e-03 6.225308519766447691e-04
2.179285421973333428e+02 2.375108623089589813e-03 7.203608597053641569e-04
2.223760634666666931e+02 2.431568542119840609e-03 8.263905500271935848e-04
2.268235847360000150e+02 2.489822577051683822e-03 9.336536340107255390e-04
2.312711060053333654e+02 2.545956484060733598e-03 1.038011812723774706e-03
2.357186272746666873e+02 2.595740115258389664e-03 1.135815732428931829e-03
2.401661485440000376e+02 2.634958846390616193e-03 1.222921194025684702e-03
2.446136698133333596e+02 2.659846654626288505e-03 1.294985319228641584e-03
2.490611910826666815e+02 2.667558386000793390e-03 1.348489275919003165e-03
2.535087123520000034e+02 2.656562090686112165e-03 1.381823709618367445e-03
2.579562336213333538e+02 2.626900029128599427e-03 1.395876034490981790e-03
2.624037548906667325e+02 2.580189220321838124e-03 1.393790119600172217e-03
2.668512761599999976e+02 2.519421293997402798e-03 1.380055562706980011e-03
2.712987974293333764e+02 2.448487824020288261e-03 1.359264995032177532e-03
2.757463186986666983e+02 2.371594455103207162e-03 1.335257287782660616e-03
2.801938399680000771e+02 2.292598007242066614e-03 1.310989344642041719e-03
2.846413612373333422e+02 2.214436771914040682e-03 1.289069229683766256e-03
2.890888825066666641e+02 2.138729823372086895e-03 1.272125635176403913e-03
2.935364037760000429e+02 2.065648795623744628e-03 1.262330335203910078e-03
2.979839250453333079e+02 1.994043852052126368e-03 1.259925029321796140e-03
3.024314463146666867e+02 1.921837863649171084e-03 1.261778674632497510e-03
3.068789675840000086e+02 1.846579336221813080e-03 1.261248214296121833e-03
3.113264888533333874e+02 1.766044933443176954e-03 1.249760398526009002e-03
3.157740101226666525e+02 1.678793151477038200e-03 1.219418617855041543e-03
3.202215313920000312e+02 1.584526409170600777e-03 1.165349955356489867e-03
3.246690526613333532e+02 1.484239435618935499e-03 1.087094129666588268e-03
3.291165739306667319e+02 1.380104808934783361e-03 9.887624286989303221e-04
3.335640951999999970e+02 1.275138588120739488e-03 8.781498715906530016e-04
3.380116164693333758e+02 1.172719659258197964e-03 7.650979922890161020e-04
3.424591377386666977e+02 1.076066043097683280e-03 6.594399969444452369e-04
3.469066590080000765e+02 9.877557965478290982e-04 5.688298326994495118e-04
3.513541802773333416e+02 9.093995079684320457e-04 4.969992581772580314e-04
3.558017015466667203e+02 8.414925067376309142e-04 4.431908525618786154e-04
3.602492228160000423e+02 7.834734766438503908e-04 4.033639422746922534e-04
3.646967440853333642e+02 7.339537635125111068e-04 3.725088189662233065e-04
3.691442653546666861e+02 6.910565501327265965e-04 3.464848256019642200e-04
3.735917866240000080e+02 6.527935956205614806e-04 3.226170716408170627e-04
3.780393078933333868e+02 6.174020119444248011e-04 2.994666588012796110e-04
3.824868291626666519e+02 5.835837490552757455e-04 2.764776168565641627e-04
3.869343504320000307e+02 5.506166549686329062e-04 2.537458709070300228e-04
3.913818717013333526e+02 5.183342979224182497e-04 2.318347269676316713e-04
3.958293929706667313e+02 4.870001994745150505e-04 2.114960799335792148e-04
4.002769142399999964e+02 4.571209452431190074e-04 1.933263735665054597e-04
4.047244355093333752e+02 4.292450762903623476e-04 1.775237036489318875e-04
4.091719567786666971e+02 4.037969929932596616e-04 1.638823013292260440e-04
4.136194780480000759e+02 3.809731010796296919e-04 1.519971250801260951e-04
4.180669993173333410e+02 3.607144342343196605e-04 1.414847263598646059e-04
4.225145205866667197e+02 3.427480559477253806e-04 1.320582418678085523e-04
4.269620418560000417e+02 3.266748753097131622e-04 1.234674402958406013e-04
4.314095631253333636e+02 3.120749948258042211e-04 1.154319627328452129e-04
4.358570843946666855e+02 2.986007273060514245e-04 1.076728305734969102e-04
4.403046056640000074e+02 2.860372582057163016e-04 1.000385569142588294e-04
4.447521269333333862e+02 2.743176752083295112e-04 9.262636577885358037e-05
4.491996482026667081e+02 2.634963390103202494e-04 8.579978368894260773e-05
4.536471694720000301e+02 2.536902333241069347e-04 8.006640889341150942e-05
4.580946907413333520e+02 2.450113767497884873e-04 7.584447167541346322e-05
4.625422120106667307e+02 2.375029323546678128e-04 7.323585182866413712e-05
4.669897332800000527e+02 2.311008364339889722e-04 7.196239291869913654e-05
4.714372545493333746e+02 2.256249703434207740e-04 7.151282158076170442e-05
4.758847758186666965e+02 2.208008363306874296e-04 7.137366355200077653e-05
4.803322970880000753e+02 2.163061222961914424e-04 7.118108111122658978e-05
4.847798183573333404e+02 2.118263004582585074e-04 7.073796084805247331e-05
4.892273396266667191e+02 2.071093300655844818e-04 6.994682068626212356e-05
4.936748608960000411e+02 2.020044196908407142e-04 6.873293865120859057e-05
4.981223821653333630e+02 1.964776669415819273e-04 6.701041188819494845e-05
5.025699034346666849e+02 1.906063070909965232e-04 6.470938210523951867e-05
5.070174247040000068e+02 1.845486227914721299e-04 6.183481619840887225e-05
5.114649459733333856e+02 1.785043444179576521e-04 5.852929716023053987e-05
5.159124672426667075e+02 1.726691397494631373e-04 5.509327973715000482e-05
5.203599885120000863e+02 1.671967015579109027e-04 5.194758857660193520e-05
5.248075097813334651e+02 1.621737634085317504e-04 4.952009769515264742e-05
5.292550310506667302e+02 1.576117476408197703e-04 4.808038878676439327e-05
5.337025523199999952e+02 1.534541593873528693e-04 4.760784512707551302e-05
5.381500735893333740e+02 1.495985753532310140e-04 4.780063544842635747e-05
5.425975948586667528e+02 1.459232771110118498e-04 4.821745739455046025e-05
5.470451161280000179e+02 1.423158408157912142e-04 4.845212360039240229e-05
5.514926373973333966e+02 1.386950644466763342e-04 4.823547774686164471e-05
5.559401586666666617e+02 1.350237399383548214e-04 4.746105836800180257e-05
5.603876799360001542e+02 1.313102532293876422e-04 4.615424893917802001e-05
5.648352012053334192e+02 1.275998133024721314e-04 4.442231398966741253e-05
5.692827224746666843e+02 1.239591845279303269e-04 4.240526842416899174e-05
5.737302437440000631e+02 1.204581910480826047e-04 4.024096727398773440e-05
5.781777650133333282e+02 1.171534391164083907e-04 3.804820423032649699e-05
5.826252862826667069e+02 1.140760644221276092e-04 3.592340063538743594e-05
5.870728075520000857e+02 1.112282642833697108e-04 3.394871300360738250e-05
5.915203288213333508e+02 1.085852911414560140e-04 3.219784323856928555e-05
5.959678500906666159e+02 1.061045937313225289e-04 3.073857318147136446e-05
6.004153713600001083e+02 1.037373056475791996e-04 2.962308846765400003e-05
6.048628926293333734e+02 1.014399136662073235e-04 2.886829621097094183e-05
6.093104138986667522e+02 9.918314258156661861e-05 2.843239081548570152e-05
6.137579351680000173e+02 9.695620948129229596e-05 2.820461096758293548e-05
6.182054564373333960e+02 9.476565673975682013e-05 2.801993506868163088e-05
6.226529777066667748e+02 9.263048071330459731e-05 2.769785451065477671e-05
6.271004989760000399e+02 9.057406190395348410e-05 2.709129684333118121e-05
6.315480202453333050e+02 8.861661079924995719e-05 2.613001311267630142e-05
6.359955415146667974e+02 8.676904055020362547e-05 2.484789637988898335e-05
6.404430627840000625e+02 8.503074425905525480e-05 2.338743121181732299e-05
6.448905840533334413e+02 8.339073635034343810e-05 2.197394677281602440e-05
6.493381053226667063e+02 8.183246831135875270e-05 2.085269916949424892e-05
6.537856265919999714e+02 8.033992110535571689e-05 2.019645436328799568e-05
6.582331478613334639e+02 7.890358764895364101e-05 2.002906670771625937e-05
6.626806691306667290e+02 7.752446813629330544e-05 2.022695601776425376e-05
6.671281903999999940e+02 7.621464151246927087e-05 2.059996414626787616e-05
6.715757116693333728e+02 7.499438294028078396e-05 2.098248138241522897e-05
6.760232329386667516e+02 7.388641279120250938e-05 2.128039818565902221e-05
6.804707542080000167e+02 7.290840839170061169e-05 2.147054796939485493e-05
6.849182754773333954e+02 7.206626120602688474e-05 2.157423973548497367e-05
6.893657967466666605e+02 7.134913071710167749e-05 2.162347918211319475e-05
6.938133180160001530e+02 7.072829226437154929e-05 2.163315193120541740e-05
6.982608392853334180e+02 7.015968891299886249e-05 2.158591755939764399e-05
7.027083605546666831e+02 6.959012242557369632e-05 2.143410757933846841e-05
7.071558818240000619e+02 6.896580703149907034e-05 2.111708086750267759e-05
7.116034030933334407e+02 6.824130896924022007e-05 2.058916778949519420e-05
7.160509243626667057e+02 6.738704479893837325e-05 1.984944380784653092e-05
7.204984456320000845e+02 6.639397694360802803e-05 1.896272813354995057e-05
7.249459669013333496e+02 6.527411493268084363e-05 1.805920454416368509e-05
7.293934881706667284e+02 6.405702734374487642e-05 1.730172499684547220e-05
7.338410094400001071e+02 6.278311021944478910e-05 1.682119166630281093e-05
7.382885307093333722e+02 6.149488316471562598e-05 1.665081875951685174e-05
7.427360519786667510e+02 6.022847540249543950e-05 1.671079804469673653e-05
7.471835732480000161e+02 5.900690848921769652e-05 1.685990276497088399e-05
7.516310945173333948e+02 5.783673237085314433e-05 1.697088032437392248e-05
7.560786157866667736e+02 5.670864053200023585e-05 1.697591321059708350e-05
7.605261370560000387e+02 5.560223945857239688e-05 1.686697181316578528e-05
7.649736583253333038e+02 5.449316065071219004e-05 1.666299795475031147e-05
7.694211795946667962e+02 5.336192455790064997e-05 1.637060434828867191e-05
7.738687008640000613e+02 5.220174858745027811e-05 1.596143133147034598e-05
