# Frequency Average_Intensity Standard_Deviation
0.000000000000000000e+00 1.174630540885066398e-05 7.510558669782335331e-06
4.447521269333333471e+00 1.315238889179340570e-05 8.112355742477704774e-06
8.895042538666666943e+00 1.757389435215558920e-05 1.097412414451079645e-05
1.334256380800000130e+01 2.559540955388291497e-05 1.703454196030615824e-05
1.779008507733333389e+01 3.810952365075857557e-05 2.583401882345568985e-05
2.223760634666667002e+01 5.620158620023011411e-05 3.674673423864150882e-05
2.668512761600000260e+01 8.100434477679059879e-05 4.945324445633642176e-05
3.113264888533333519e+01 1.135377042269159929e-04 6.398423836891925097e-05
3.558017015466666777e+01 1.545549784511938713e-04 8.067374724218057201e-05
4.002769142400000391e+01 2.044165296958346824e-04 1.000064145022709985e-04
4.447521269333334004e+01 2.630120160005662913e-04 1.223704866680412433e-04
4.892273396266666907e+01 3.297444837973732899e-04 1.478020988785451277e-04
5.337025523200000521e+01 4.035819306099016094e-04 1.758424461077266071e-04
5.781777650133334134e+01 4.831689388431547683e-04 2.055736883035824702e-04
6.226529777066667037e+01 5.669795806904503761e-04 2.358443626620825484e-04
6.671281903999999940e+01 6.534858639937910982e-04 2.656162605463694044e-04
7.116034030933333554e+01 7.413146900130732336e-04 2.943353258057208963e-04
7.560786157866667168e+01 8.293627293012877013e-04 3.221806217348449587e-04
8.005538284800000781e+01 9.168589834023085829e-04 3.500489839895850100e-04
8.450290411733334395e+01 1.003368619169258107e-03 3.792020635189957060e-04
8.895042538666668008e+01 1.088745194339927518e-03 4.106828442392566241e-04
9.339794665600000201e+01 1.173050325713167726e-03 4.447934034843445362e-04
9.784546792533333814e+01 1.256459210657410487e-03 4.809462327156527372e-04
1.022929891946666743e+02 1.339170447767568887e-03 5.179643791377508064e-04
1.067405104640000104e+02 1.421329703765669260e-03 5.546257552768365118e-04
1.111880317333333466e+02 1.502968775848269019e-03 5.901561224739478593e-04
1.156355530026666827e+02 1.583963048413131874e-03 6.244623164783903680e-04
1.200830742720000188e+02 1.663977799997303289e-03 6.580280894489077626e-04
1.245305955413333407e+02 1.742434755261207694e-03 6.916204818537039596e-04
1.289781168106666769e+02 1.818464188850229396e-03 7.258915758451768736e-04
1.334256380799999988e+02 1.890894173660115970e-03 7.610882955233101840e-04
1.378731593493333492e+02 1.958274074035900106e-03 7.968504435844179926e-04
1.423206806186666711e+02 2.018947232068949230e-03 8.320678533061964550e-04
1.467682018880000214e+02 2.071211090113392762e-03 8.648084730905384286e-04
1.512157231573333434e+02 2.113534604417732256e-03 8.923340152447667645e-04
1.556632444266666937e+02 2.144823201578096791e-03 9.113387885771005725e-04
1.601107656960000156e+02 2.164665387696243677e-03 9.184411188020525979e-04
1.645582869653333660e+02 2.173537315428174157e-03 9.109213737903128043e-04
1.690058082346666879e+02 2.172872123570129127e-03 8.874880684181023173e-04
1.734533295040000382e+02 2.164986301270749487e-03 8.489448815347138463e-04
