# Frequency Average_Intensity Standard_Deviation
1.405416721109333366e+03 3.111176882174736475e-04 1.071503017755674416e-04
1.414311763648000124e+03 3.283541713319190238e-04 1.128798384803233280e-04
1.423206806186666881e+03 3.438833698686123144e-04 1.175794245678432918e-04
1.432101848725333411e+03 3.577642124654252433e-04 1.210313745563623396e-04
1.440996891264000169e+03 3.701499014717349973e-04 1.232519433493475878e-04
1.449891933802666699e+03 3.812178329949505702e-04 1.244915994640922823e-04
1.458786976341333457e+03 3.910904195376726936e-04 1.251455670987012322e-04
1.467682018880000214e+03 3.997663095593075163e-04 1.256004569410691196e-04
1.476577061418666744e+03 4.070775497258123351e-04 1.260859425879412761e-04
1.485472103957333502e+03 4.126865857017552154e-04 1.265990089013264248e-04
1.494367146496000032e+03 4.161248011914437306e-04 1.269408743366761674e-04
1.503262189034666790e+03 4.168732949713752382e-04 1.268315476929349965e-04
1.512157231573333547e+03 4.144657516742439904e-04 1.260368294437182960e-04
1.521052274112000077e+03 4.085977107743348066e-04 1.244485636387762889e-04
1.529947316650666608e+03 3.992216896558325014e-04 1.220998348360922893e-04
1.538842359189333592e+03 3.866016181549497880e-04 1.191299248062253376e-04
1.547737401728000123e+03 3.713239855246401491e-04 1.157282662463880285e-04
1.556632444266666880e+03 3.542538028600298260e-04 1.120869239015356096e-04
1.565527486805333410e+03 3.364445786555453344e-04 1.083779506257394857e-04
1.574422529343999940e+03 3.190188024927595413e-04 1.047560386781593467e-04
1.583317571882666925e+03 3.030376317458198065e-04 1.013730849759891562e-04
1.592212614421333456e+03 2.893817249611202826e-04 9.838683643385757679e-05
1.601107656959999986e+03 2.786612667679534651e-04 9.594976286644317834e-05
1.610002699498666743e+03 2.711686806213700444e-04 9.417591168177672856e-05
1.618897742037333501e+03 2.668763287170910744e-04 9.310335642965279367e-05
1.627792784576000258e+03 2.654745504624727226e-04 9.267306326118892907e-05
1.636687827114666788e+03 2.664417920784427308e-04 9.274291650235708042e-05
1.645582869653333319e+03 2.691287324082500309e-04 9.313326533165227001e-05
1.654477912192000304e+03 2.728425590688283693e-04 9.367929180342888184e-05
1.663372954730666834e+03 2.769194983715755442e-04 9.426562626372021021e-05
1.672267997269333364e+03 2.807760516468518308e-04 9.482800739632685823e-05
1.681163039808000121e+03 2.839365386640492787e-04 9.532483731321622308e-05
1.690058082346666879e+03 2.860384974924402705e-04 9.569804687210789744e-05
1.698953124885333636e+03 2.868223389012966736e-04 9.584644664389815319e-05
1.707848167424000167e+03 2.861109033933842524e-04 9.562730806244925936e-05
1.716743209962666697e+03 2.837873683539589059e-04 9.489068561637803727e-05
1.725638252501333454e+03 2.797785532380259784e-04 9.353123097588971000e-05
1.734533295040000212e+03 2.740418230896714399e-04 9.153742345135396584e-05
1.743428337578666742e+03 2.665645381540890585e-04 8.901324940026700912e-05
1.752323380117333500e+03 2.573666520790401533e-04 8.615692620781146259e-05
1.761218422656000030e+03 2.465100081408532493e-04 8.319006760732584665e-05
1.770113465194666787e+03 2.341068355916133827e-04 8.025935600065109627e-05
1.779008507733333545e+03 2.203285762022599728e-04 7.735343589954791880e-05
1.787903550272000075e+03 2.054068032366686302e-04 7.428321005016575796e-05
1.796798592810666833e+03 1.896312366717227481e-04 7.074875588453930820e-05
1.805693635349333590e+03 1.733390511993910285e-04 6.645760362805855251e-05
1.814588677888000120e+03 1.568987010040540271e-04 6.124190126237285658e-05
1.823483720426666878e+03 1.406887161071534802e-04 5.512796096052222501e-05
1.832378762965333408e+03 1.250735995638888932e-04 4.834216255898752369e-05
1.841273805504000165e+03 1.103789747630168236e-04 4.126587317822689283e-05
1.850168848042666923e+03 9.687034158638095193e-05 3.435481466974375748e-05
1.859063890581333453e+03 8.473638620393181406e-05 2.804584799215242578e-05
1.867958933120000211e+03 7.407882388384786807e-05 2.266811072027887267e-05
1.876853975658666741e+03 6.491238395920743704e-05 1.837877271027266204e-05
1.885749018197333498e+03 5.717239767823366700e-05 1.514269416456718882e-05
1.894644060736000256e+03 5.072978404887184233e-05 1.277893683445617568e-05
1.903539103274666786e+03 4.541183913800311855e-05 1.106123232477335296e-05
1.912434145813333316e+03 4.102460498794559008e-05 9.806025252516205936e-06
1.921329188352000301e+03 3.737433881202576965e-05 8.896498610108388992e-06
1.930224230890666831e+03 3.428518822185495983e-05 8.256045615651940299e-06
1.939119273429333361e+03 3.161100803171547628e-05 7.818189008775126519e-06
1.948014315968000119e+03 2.924078375628923676e-05 7.517799287912386515e-06
1.956909358506666877e+03 2.709788674794897642e-05 7.295129704882264444e-06
1.965804401045333634e+03 2.513487051355583210e-05 7.099031556416238596e-06
1.974699443584000164e+03 2.332589766131017714e-05 6.886667831186516177e-06
1.983594486122666694e+03 2.165825211753668141e-05 6.624641466771756630e-06
1.992489528661333452e+03 2.012563588295576529e-05 6.293123933221788205e-06
2.001384571200000210e+03 1.872327034822387289e-05 5.889458399408743875e-06
2.010279613738666740e+03 1.744545697700331294e-05 5.428402379099100986e-06
2.019174656277333497e+03 1.628515747380636155e-05 4.937919008222137040e-06
2.028069698816000027e+03 1.523464566542475119e-05 4.451625827411550078e-06
2.036964741354667012e+03 1.428656727486483357e-05 3.999997227939323993e-06
2.045859783893333542e+03 1.343429086209623433e-05 3.602368267971624079e-06
2.054754826432000300e+03 1.267199932061114448e-05 3.262747352347681554e-06
2.063649868970666830e+03 1.199386109766250118e-05 2.971539136096750573e-06
2.072544911509333815e+03 1.139321690680413385e-05 2.712829602431722647e-06
2.081439954048000345e+03 1.086196487694046958e-05 2.472956255090519133e-06
2.090334996586666875e+03 1.039044607822938006e-05 2.245547657078281420e-06
2.099230039125333860e+03 9.968159825746309691e-06 2.031631947963497976e-06
2.108125081664000390e+03 9.584953865422373364e-06 1.836345687237403563e-06
2.117020124202666921e+03 9.232419503672331581e-06 1.665617612699791014e-06
2.125915166741333451e+03 8.905059296592647170e-06 1.524661588521624686e-06
2.134810209279999981e+03 8.600739923724100262e-06 1.417928520335821164e-06
2.143705251818666511e+03 8.320531218709542300e-06 1.348928743299733715e-06
2.152600294357333496e+03 8.067679927444607160e-06 1.318245609197754130e-06
2.161495336896000026e+03 7.846196070452419652e-06 1.321555676969144309e-06
2.170390379434667011e+03 7.659346833721086386e-06 1.350119588702225369e-06
2.179285421973333541e+03 7.508447890377556307e-06 1.393677019045511778e-06
2.188180464512000071e+03 7.392196586373629022e-06 1.443141318600093787e-06
2.197075507050667056e+03 7.306716942765376121e-06 1.491609302553802750e-06
2.205970549589333586e+03 7.246108027308735425e-06 1.533910516819228741e-06
2.214865592128000117e+03 7.203387715971323962e-06 1.566249822661222111e-06
2.223760634666666647e+03 7.171503429142677954e-06 1.586490094604429196e-06
2.232655677205333177e+03 7.144112918512656933e-06 1.594911905165639471e-06
2.241550719744000617e+03 7.116128607291421313e-06 1.595026000805682127e-06
2.250445762282667147e+03 7.083800548438683154e-06 1.593249554553576079e-06
2.259340804821333677e+03 7.044559447780616488e-06 1.597388951395590001e-06
2.268235847360000207e+03 6.996679741841927412e-06 1.613752849456522032e-06
2.277130889898666737e+03 6.938933189966603266e-06 1.644123292612961174e-06
2.286025932437333267e+03 6.870317959101148150e-06 1.684177871536107683e-06
2.294920974976000252e+03 6.789991163925370391e-06 1.724539749156299018e-06
2.303816017514666783e+03 6.697304885058729938e-06 1.753663291052642431e-06
2.312711060053333313e+03 6.591937658639085895e-06 1.761091922911705699e-06
2.321606102592000298e+03 6.474061947402842636e-06 1.739989623230293026e-06
2.330501145130666828e+03 6.344427120535384005e-06 1.688324456881563500e-06
2.339396187669333813e+03 6.204391931830549583e-06 1.608996745715222888e-06
2.348291230208000343e+03 6.055826021837105671e-06 1.508887999423623254e-06
2.357186272746666873e+03 5.900967424835646613e-06 1.397298670726992700e-06
2.366081315285333403e+03 5.742220594095822092e-06 1.283950964985641110e-06
2.374976357823999933e+03 5.581953435347930481e-06 1.176956378138134625e-06
2.383871400362666463e+03 5.422316348789955803e-06 1.081221969988233431e-06
2.392766442901333903e+03 5.265104273323414476e-06 9.978186412116938269e-07
