# Frequency Average_Intensity Standard_Deviation
1.245305955413333407e+02 2.175055685713275615e-03 1.063869681191073223e-03
1.289781168106666769e+02 2.332926080033238640e-03 1.190859366908867496e-03
1.334256380799999988e+02 2.470092700711248260e-03 1.301362732942666547e-03
1.378731593493333492e+02 2.578518061674470348e-03 1.386431667924461434e-03
1.423206806186666711e+02 2.652378397634834288e-03 1.439353096380358325e-03
1.467682018880000214e+02 2.688970033488908423e-03 1.456551146345351358e-03
1.512157231573333434e+02 2.689185199725912211e-03 1.437979931453208004e-03
1.556632444266666937e+02 2.657444572599345668e-03 1.386860595693881334e-03
1.601107656960000156e+02 2.601114364789481465e-03 1.308809130598527406e-03
1.645582869653333660e+02 2.529471734687380527e-03 1.210445082816603499e-03
1.690058082346666879e+02 2.452444052994830984e-03 1.097946529497598796e-03
1.734533295040000382e+02 2.379298312267163259e-03 9.759410668158087715e-04
1.779008507733333602e+02 2.317567186160939940e-03 8.473255155986918977e-04
1.823483720426666821e+02 2.272271603443892264e-03 7.142571755198051132e-04
1.867958933120000040e+02 2.245656064398967450e-03 5.805760940216402651e-04
1.912434145813333259e+02 2.237354316849596465e-03 4.561908110288294708e-04
1.956909358506666763e+02 2.244910510039743647e-03 3.646307393040397102e-04
2.001384571199999982e+02 2.264593859295615207e-03 3.439105927350515307e-04
2.045859783893333486e+02 2.292185784257180434e-03 4.053461250080854852e-04
2.090334996586666705e+02 2.323721494384033658e-03 5.132734455553458362e-04
2.134810209280000208e+02 2.355979608111654147e-03 6.339550451747514833e-04
2.179285421973333428e+02 2.386675353603586076e-03 7.508028403222899005e-04
2.223760634666666931e+02 2.414416916131134454e-03 8.575141905981241734e-04
2.268235847360000150e+02 2.438426534932989446e-03 9.530599685593291182e-04
2.312711060053333654e+02 2.458179511379783144e-03 1.038684362057022172e-03
2.357186272746666873e+02 2.473083058502626840e-03 1.115751482463409614e-03
2.401661485440000376e+02 2.482258861298018357e-03 1.184429673964812859e-03
2.446136698133333596e+02 2.484491814393395299e-03 1.243528645817321967e-03
2.490611910826666815e+02 2.478391986208599088e-03 1.291335397472844360e-03
2.535087123520000034e+02 2.462645281511637203e-03 1.326773278490748099e-03
2.579562336213333538e+02 2.436368514573920754e-03 1.350144741683976342e-03
2.624037548906667325e+02 2.399381101317501173e-03 1.362975233995911400e-03
2.668512761599999976e+02 2.352381752754230219e-03 1.367098696995599008e-03
2.712987974293333764e+02 2.296933171327328761e-03 1.363553600251697509e-03
2.757463186986666983e+02 2.235268060706363004e-03 1.352072027161084749e-03
2.801938399680000771e+02 2.169925760620986833e-03 1.331557469717302303e-03
2.846413612373333422e+02 2.103315602573823436e-03 1.301351042490994083e-03
2.890888825066666641e+02 2.037281464860309262e-03 1.262496139362083393e-03
2.935364037760000429e+02 1.972784345162195262e-03 1.218250974041353366e-03
2.979839250453333079e+02 1.909739489592047600e-03 1.173333018888638628e-03
3.024314463146666867e+02 1.847087558570859999e-03 1.132090631456717953e-03
3.068789675840000086e+02 1.783066795576507269e-03 1.096432618939336030e-03
3.113264888533333874e+02 1.715634549731860680e-03 1.064716184270017053e-03
3.157740101226666525e+02 1.642965675220220152e-03 1.032428338086570190e-03
3.202215313920000312e+02 1.563907590068445725e-03 9.941660009022000762e-04
3.246690526613333532e+02 1.478308107734625267e-03 9.457810215022087897e-04
3.291165739306667319e+02 1.387157584033064288e-03 8.857258953246177971e-04
3.335640951999999970e+02 1.292493425412503212e-03 8.153393532800954930e-04
3.380116164693333758e+02 1.197106899995926173e-03 7.383259360464242528e-04
3.424591377386666977e+02 1.104111609365683632e-03 6.597891005167544603e-04
3.469066590080000765e+02 1.016444391178708811e-03 5.851017285530017622e-04
3.513541802773333416e+02 9.364302839311248452e-04 5.188318838648742822e-04
3.558017015466667203e+02 8.654551881823989174e-04 4.637958153676362293e-04
3.602492228160000423e+02 8.038372439360359301e-04 4.205128201041096782e-04
3.646967440853333642e+02 7.508932719620092094e-04 3.872993950654356264e-04
3.691442653546666861e+02 7.051785179507970422e-04 3.610861137666406852e-04
3.735917866240000080e+02 6.648369677421034959e-04 3.385734418317689243e-04
3.780393078933333868e+02 6.279876499965553758e-04 3.171485882080725340e-04
3.824868291626666519e+02 5.930614616441385852e-04 2.952790068936041938e-04
3.869343504320000307e+02 5.590302181081915206e-04 2.724581767314290240e-04
3.913818717013333526e+02 5.254935835399890398e-04 2.489415090980291148e-04
