# Time	0_mean	0_err	1_mean	1_err	2_mean	2_err	3_mean	3_err	4_mean	4_err	5_mean	5_err	6_mean	6_err	7_mean	7_err	8_mean	8_err	9_mean	9_err	10_mean	10_err	11_mean	11_err
 0.0000000e+00	 8.7144262e+03	 8.6047348e+02	 8.2163684e+01	 1.0079187e+01	 1.2705164e+01	 1.6403043e+00	 2.0732076e+00	 2.1973495e-01	 6.0064251e-01	 8.1361348e-02	 2.1417640e-01	 2.5576631e-02	 7.4897933e-02	 9.7335262e-03	 3.5589019e-02	 3.9628011e-03	 1.2504534e-02	 1.3527908e-03	 5.2693393e-03	 5.3038641e-04	 1.3300175e-03	 1.5438361e-04	 2.4349138e-04	 2.6497981e-05
 5.0000000e-03	 8.7122793e+03	 8.6029832e+02	 8.1944190e+01	 1.0052034e+01	 1.2602566e+01	 1.6270550e+00	 2.0369497e+00	 2.1588270e-01	 5.8129627e-01	 7.8744706e-02	 2.0262152e-01	 2.4196814e-02	 6.8455329e-02	 8.8960189e-03	 3.0879031e-02	 3.4380942e-03	 9.9989744e-03	 1.0817720e-03	 3.6765798e-03	 3.7006763e-04	 7.1887156e-04	 8.3452301e-05	 8.1987413e-05	 8.9321593e-06
 1.0000000e-02	 8.7054374e+03	 8.5965824e+02	 8.1295987e+01	 9.9723536e+00	 1.2300837e+01	 1.5880551e+00	 1.9322521e+00	 2.0477006e-01	 5.2709743e-01	 7.1403966e-02	 1.7167954e-01	 2.0502168e-02	 5.2458983e-02	 6.8174970e-03	 2.0486988e-02	 2.2804946e-03	 5.4942356e-03	 5.9448504e-04	 1.7849478e-03	 1.7966277e-04	 5.6893615e-04	 6.6044248e-05	 2.3944624e-04	 2.6059089e-05
 1.5000000e-02	 8.6939153e+03	 8.5855476e+02	 8.0229642e+01	 9.8414456e+00	 1.1814649e+01	 1.5252050e+00	 1.7701015e+00	 1.8756491e-01	 4.4849391e-01	 6.0754214e-02	 1.3137557e-01	 1.5689737e-02	 3.5152658e-02	 4.5687602e-03	 1.2654188e-02	 1.4083035e-03	 4.3933347e-03	 4.7545355e-04	 3.0150123e-03	 3.0351791e-04	 1.2890961e-03	 1.4966024e-04	 8.8622088e-05	 9.6548442e-06
 2.0000000e-02	 8.6777348e+03	 8.5698997e+02	 7.8762295e+01	 9.6614099e+00	 1.1167512e+01	 1.4415518e+00	 1.5674555e+00	 1.6606928e-01	 3.6059881e-01	 4.8843575e-02	 9.4737326e-02	 1.1315353e-02	 2.5431032e-02	 3.3054075e-03	 1.3567373e-02	 1.5108024e-03	 7.9970420e-03	 8.6546493e-04	 5.1232751e-03	 5.1586262e-04	 8.9142193e-04	 1.0351825e-04	 2.2894212e-04	 2.4914916e-05
 2.5000000e-02	 8.6569258e+03	 8.5496682e+02	 7.6917374e+01	 9.4351200e+00	 1.0390630e+01	 1.3411405e+00	 1.3454515e+00	 1.4252864e-01	 2.8026885e-01	 3.7957262e-02	 7.3568882e-02	 8.7890406e-03	 2.8254339e-02	 3.6722536e-03	 2.2456559e-02	 2.5019032e-03	 1.1954624e-02	 1.2938036e-03	 4.2821119e-03	 4.3126418e-04	 4.7161221e-04	 5.4753969e-05	 1.0134868e-04	 1.1040705e-05
 3.0000000e-02	 8.6315245e+03	 8.5248887e+02	 7.4724200e+01	 9.1661736e+00	 9.5213706e+00	 1.2288162e+00	 1.1271864e+00	 1.1939614e-01	 2.2285541e-01	 3.0177089e-02	 7.4633225e-02	 8.9190291e-03	 4.2103701e-02	 5.4724638e-03	 3.2226388e-02	 3.5906323e-03	 1.1503449e-02	 1.2450611e-03	 2.0170766e-03	 2.0314476e-04	 1.1831798e-03	 1.3737779e-04	 2.1286809e-04	 2.3164371e-05
 3.5000000e-02	 8.6015750e+03	 8.4956030e+02	 7.2217514e+01	 8.8588329e+00	 8.6014415e+00	 1.1099862e+00	 9.3529844e-01	 9.9075605e-02	 1.9925503e-01	 2.6981363e-02	 9.7476790e-02	 1.1651539e-02	 5.9782713e-02	 7.7712736e-03	 3.5103721e-02	 3.9107252e-03	 7.1876227e-03	 7.7803204e-04	 2.4283080e-03	 2.4443470e-04	 1.0611977e-03	 1.2326551e-04	 1.1903673e-04	 1.2967008e-05
 4.0000000e-02	 8.5671283e+03	 8.4618598e+02	 6.9436925e+01	 8.5179540e+00	 7.6748864e+00	 9.9035961e-01	 7.8960211e-01	 8.3669924e-02	 2.1382678e-01	 2.8961883e-02	 1.3459650e-01	 1.6090319e-02	 7.2142404e-02	 9.3796217e-03	 2.8806442e-02	 3.2082474e-03	 4.1892522e-03	 4.5354705e-04	 4.7568969e-03	 4.7899166e-04	 4.4150131e-04	 5.1272624e-05	 1.9256616e-04	 2.0953006e-05
 4.5000000e-02	 8.5282433e+03	 8.4237171e+02	 6.6426264e+01	 8.1489132e+00	 6.7859574e+00	 8.7567106e-01	 7.0502692e-01	 7.4761874e-02	 2.6357422e-01	 3.5712614e-02	 1.7388909e-01	 2.0789073e-02	 7.2801867e-02	 9.4674400e-03	 1.8337996e-02	 2.0414062e-03	 6.0938441e-03	 6.5981735e-04	 4.7733380e-03	 4.8085229e-04	 1.0294677e-03	 1.1952721e-04	 1.4015194e-04	 1.5266897e-05
 5.0000000e-02	 8.4849860e+03	 8.3812397e+02	 6.3232881e+01	 7.7575221e+00	 5.9769769e+00	 7.7140254e-01	 6.9007153e-01	 7.3249984e-02	 3.3874352e-01	 4.5910947e-02	 2.0258173e-01	 2.4221034e-02	 6.1428796e-02	 7.9903659e-03	 1.1996940e-02	 1.3353641e-03	 1.0590508e-02	 1.1467802e-03	 2.4481042e-03	 2.4667910e-04	 1.2004054e-03	 1.3945266e-04	 1.6973270e-04	 1.8466296e-05
 5.5000000e-02	 8.4374293e+03	 8.3345009e+02	 5.9906921e+01	 7.3499351e+00	 5.2863091e+00	 6.8251977e-01	 7.4593681e-01	 7.9256204e-02	 4.2471852e-01	 5.7574804e-02	 2.1136929e-01	 2.5273485e-02	 4.3893165e-02	 5.7104581e-03	 1.4783557e-02	 1.6471275e-03	 1.2263295e-02	 1.3280509e-03	 1.9932417e-03	 2.0066665e-04	 4.8244894e-04	 5.6052580e-05	 1.6287346e-04	 1.7741673e-05
