# Time	0_mean	0_err	1_mean	1_err	2_mean	2_err	3_mean	3_err	4_mean	4_err	5_mean	5_err	6_mean	6_err	7_mean	7_err	8_mean	8_err	9_mean	9_err	10_mean	10_err	11_mean	11_err
 6.0000000e-02	 8.0733194e+03	 7.5176193e+02	 5.6185798e+01	 3.3050290e+00	 4.3770180e+00	 2.4596373e-01	 8.2745080e-01	 4.3096688e-02	 4.8071102e-01	 2.5148471e-02	 1.8165201e-01	 9.7524871e-03	 3.0380100e-02	 1.4035767e-03	 2.0492451e-02	 9.8352130e-04	 8.3812637e-03	 3.7665122e-04	 3.6983376e-03	 1.5980748e-04	 9.5707218e-04	 4.3140926e-05	 1.5012150e-04	 6.2778024e-06
 6.5000000e-02	 8.0203844e+03	 7.4707407e+02	 5.2815141e+01	 3.1101639e+00	 3.9873720e+00	 2.2339155e-01	 9.7852933e-01	 5.0984872e-02	 5.3731224e-01	 2.8118808e-02	 1.5383986e-01	 8.2801105e-03	 2.5686541e-02	 1.1810654e-03	 2.7695422e-02	 1.3335026e-03	 4.6662715e-03	 2.1006123e-04	 4.4519001e-03	 1.9396591e-04	 1.4324004e-03	 6.4909683e-05	 1.8891884e-04	 7.9168363e-06
 7.0000000e-02	 7.9636940e+03	 7.4205007e+02	 4.9457555e+01	 2.9153817e+00	 3.7600961e+00	 2.0970734e-01	 1.1635206e+00	 6.0684386e-02	 5.6400155e-01	 2.9538040e-02	 1.1859622e-01	 6.3982686e-03	 3.2884767e-02	 1.5088865e-03	 2.8613468e-02	 1.3829802e-03	 4.3716627e-03	 1.9450759e-04	 2.7208005e-03	 1.1939084e-04	 6.8542859e-04	 3.1253486e-05	 1.2769334e-04	 5.3503900e-06
 7.5000000e-02	 7.9033418e+03	 7.3669780e+02	 4.6161060e+01	 2.7233795e+00	 3.7019460e+00	 2.0534559e-01	 1.3622599e+00	 7.1149457e-02	 5.5588819e-01	 2.9148860e-02	 8.7104922e-02	 4.7021022e-03	 4.7968629e-02	 2.2029157e-03	 2.2564107e-02	 1.0950776e-03	 7.7396377e-03	 3.4397917e-04	 1.6320155e-03	 7.0554225e-05	 7.6488749e-04	 3.4399625e-05	 2.0631574e-04	 8.6489502e-06
 8.0000000e-02	 7.8394267e+03	 7.3102567e+02	 4.2972245e+01	 2.5367879e+00	 3.8117236e+00	 2.1029989e-01	 1.5535603e+00	 8.1277720e-02	 5.1477327e-01	 2.7040645e-02	 6.9157754e-02	 3.7198612e-03	 6.2984473e-02	 2.8984477e-03	 1.4358450e-02	 6.9768406e-04	 1.0653302e-02	 4.7579911e-04	 3.1021531e-03	 1.3377390e-04	 1.4254386e-03	 6.4407854e-05	 1.0904909e-04	 4.5804422e-06
 8.5000000e-02	 7.7720526e+03	 7.2504235e+02	 3.9935558e+01	 2.3581330e+00	 4.0804852e+00	 2.2411961e-01	 1.7173751e+00	 9.0020799e-02	 4.4869471e-01	 2.3625334e-02	 7.0054820e-02	 3.7500348e-03	 7.0159617e-02	 3.2382877e-03	 1.0421446e-02	 5.0108103e-04	 9.6137693e-03	 4.3263911e-04	 4.4187550e-03	 1.9236261e-04	 8.4026431e-04	 3.8340205e-05	 2.1941712e-04	 9.1954665e-06
 9.0000000e-02	 7.7013267e+03	 7.1875700e+02	 3.7092710e+01	 2.1897916e+00	 4.4920674e+00	 2.4594657e-01	 1.8368176e+00	 9.6489162e-02	 3.7029345e-01	 1.9551886e-02	 8.8994728e-02	 4.7597314e-03	 6.5861639e-02	 3.0519229e-03	 1.3711276e-02	 6.5473262e-04	 5.8897385e-03	 2.6698915e-04	 3.1955564e-03	 1.4054693e-04	 6.1823075e-04	 2.7833426e-05	 9.5498077e-05	 4.0175486e-06
 9.5000000e-02	 7.6273587e+03	 7.1217930e+02	 3.4482099e+01	 2.0339821e+00	 5.0239703e+00	 2.7457421e-01	 1.8998233e+00	 1.0003837e-01	 2.9435146e-01	 1.5580263e-02	 1.1943782e-01	 6.3986559e-03	 5.2380889e-02	 2.4385406e-03	 2.1452660e-02	 1.0282726e-03	 3.9229261e-03	 1.7568617e-04	 1.6517281e-03	 7.1948522e-05	 1.3485910e-03	 6.0871226e-05	 2.2719197e-04	 9.5188225e-06
 1.0000000e-01	 7.5502632e+03	 7.0531903e+02	 3.2138179e+01	 1.8927288e+00	 5.6484409e+00	 3.0851128e-01	 1.9003076e+00	 1.0032909e-01	 2.3495487e-01	 1.2439180e-02	 1.5129547e-01	 8.1271694e-03	 3.6664526e-02	 1.7116101e-03	 2.7419269e-02	 1.3224672e-03	 5.9873752e-03	 2.6556855e-04	 2.5434367e-03	 1.0933235e-04	 1.0089420e-03	 4.6060915e-05	 8.7786016e-05	 3.6998974e-06
 1.0500000e-01	 7.4701613e+03	 6.9818614e+02	 3.0091025e+01	 1.7678359e+00	 6.3338871e+00	 3.4605703e-01	 1.8386778e+00	 9.7356221e-02	 2.0283023e-01	 1.0697730e-02	 1.7421192e-01	 9.3893131e-03	 2.6692243e-02	 1.2381072e-03	 2.6888476e-02	 1.3061279e-03	 9.5200857e-03	 4.2381976e-04	 4.2028541e-03	 1.8254618e-04	 5.3499929e-04	 2.4183640e-05	 2.2905061e-04	 9.5962004e-06
 1.1000000e-01	 7.3871762e+03	 6.9079093e+02	 2.8366002e+01	 1.6608673e+00	 7.0463855e+00	 3.8537918e-01	 1.7216945e+00	 9.1444653e-02	 2.0336871e-01	 1.0662448e-02	 1.8086793e-01	 9.7864206e-03	 2.7381973e-02	 1.2577390e-03	 2.0328333e-02	 9.9463550e-04	 1.0255478e-02	 4.6041191e-04	 3.6128811e-03	 1.5901258e-04	 1.2141851e-03	 5.4760130e-05	 8.6270887e-05	 3.6388691e-06
 1.1500000e-01	 7.3014359e+03	 6.8314436e+02	 2.6983463e+01	 1.5731275e+00	 7.7512860e+00	 4.2459650e-01	 1.5616928e+00	 8.3212405e-02	 2.3568828e-01	 1.2299876e-02	 1.6925858e-01	 9.2004829e-03	 3.8127844e-02	 1.7489140e-03	 1.2942531e-02	 6.3354223e-04	 7.3313531e-03	 3.3271354e-04	 1.8517031e-03	 8.1566164e-05	 1.1617817e-03	 5.2996558e-05	 2.2497311e-04	 9.4197983e-06
 1.2000000e-01	 7.2130689e+03	 6.7525763e+02	 2.5958363e+01	 1.5056462e+00	 8.4148008e+00	 4.6186449e-01	 1.3752525e+00	 7.3505466e-02	 2.9290032e-01	 1.5243791e-02	 1.4324603e-01	 7.8265455e-03	 5.3197520e-02	 2.4450722e-03	 1.0501631e-02	 5.0490969e-04	 4.2579361e-03	 1.9283113e-04	 2.0853431e-03	 8.9615327e-05	 5.2355829e-04	 2.3824109e-05	 9.0731142e-05	 3.8293246e-06
 1.2500000e-01	 7.1222092e+03	 6.6714214e+02	 2.5300123e+01	 1.4591630e+00	 9.0055481e+00	 4.9545922e-01	 1.1814521e+00	 6.3307793e-02	 3.6351336e-01	 1.8893905e-02	 1.1123579e-01	 6.1051038e-03	 6.4743891e-02	 2.9873513e-03	 1.4794220e-02	 7.0586362e-04	 4.6668176e-03	 2.0730247e-04	 3.8410070e-03	 1.6654945e-04	 1.0438727e-03	 4.6978483e-05	 2.1534179e-04	 9.0190043e-06
 1.3000000e-01	 7.0289965e+03	 6.5880994e+02	 2.5012608e+01	 1.4340990e+00	 9.4959741e+00	 5.2385066e-01	 9.9987858e-01	 5.3641426e-02	 4.3368224e-01	 2.2538166e-02	 8.3420292e-02	 4.5787989e-03	 6.6846565e-02	 3.1016766e-03	 2.2283607e-02	 1.0688662e-03	 7.9838723e-03	 3.5446030e-04	 3.9173967e-03	 1.7241299e-04	 1.2721390e-03	 5.7833674e-05	 1.0042190e-04	 4.2387536e-06
 1.3500000e-01	 6.9335718e+03	 6.5027295e+02	 2.5094156e+01	 1.4305444e+00	 9.8635466e+00	 5.4576620e-01	 8.4862073e-01	 4.5467523e-02	 4.8986901e-01	 2.5481800e-02	 6.8492017e-02	 3.7252784e-03	 5.8503189e-02	 2.7340272e-03	 2.6976737e-02	 1.3051620e-03	 1.0180861e-02	 4.5550891e-04	 2.1851969e-03	 9.7075433e-05	 5.7984224e-04	 2.6542996e-05	 2.0116752e-04	 8.4393992e-06
 1.4000000e-01	 6.8360771e+03	 6.4154299e+02	 2.5537535e+01	 1.4482546e+00	 1.0091743e+01	 5.6024528e-01	 7.4240707e-01	 3.9594892e-02	 5.2139893e-01	 2.7173955e-02	 7.0887891e-02	 3.8134454e-03	 4.4063042e-02	 2.0739401e-03	 2.5177178e-02	 1.2303769e-03	 8.6288872e-03	 3.9092729e-04	 1.7706359e-03	 7.6246741e-05	 8.6547838e-04	 3.8869699e-05	 1.1432849e-04	 4.8231124e-06
 1.4500000e-01	 6.7366559e+03	 6.3263222e+02	 2.6330230e+01	 1.4866555e+00	 1.0170761e+01	 5.6668242e-01	 6.9114926e-01	 3.6603943e-02	 5.2243424e-01	 2.7307444e-02	 8.9440868e-02	 4.7957567e-03	 3.0925048e-02	 1.4550361e-03	 1.8355422e-02	 9.0569318e-04	 5.2082346e-03	 2.3805079e-04	 3.3829629e-03	 1.4636943e-04	 1.3241779e-03	 5.9944032e-05	 1.8351414e-04	 7.7124526e-06
 1.5000000e-01	 6.6354534e+03	 6.2355302e+02	 2.7454703e+01	 1.5448516e+00	 1.0097872e+01	 5.6484784e-01	 6.9898651e-01	 3.6774467e-02	 4.9300561e-01	 2.5871946e-02	 1.1784168e-01	 6.3271092e-03	 2.5713413e-02	 1.1927409e-03	 1.1912580e-02	 5.8632083e-04	 3.9981318e-03	 1.7874788e-04	 4.0754156e-03	 1.7918988e-04	 6.9061579e-04	 3.1668632e-05	 1.3103421e-04	 5.5214581e-06
 1.5500000e-01	 6.5326165e+03	 6.1431796e+02	 2.8888700e+01	 1.6216582e+00	 9.8774649e+00	 5.5489279e-01	 7.6394380e-01	 4.0034076e-02	 4.3892591e-01	 2.3150899e-02	 1.4673677e-01	 7.9036253e-03	 3.0904296e-02	 1.4234732e-03	 1.0869452e-02	 5.2293757e-04	 6.3804925e-03	 2.8269179e-04	 2.6001853e-03	 1.1611481e-04	 7.0586802e-04	 3.1647861e-05	 1.6392340e-04	 6.9051109e-06
 1.6000000e-01	 6.4282958e+03	 6.0493956e+02	 3.0605552e+01	 1.7156366e+00	 9.5207805e+00	 5.3733614e-01	 8.7820930e-01	 4.5971485e-02	 3.7060807e-01	 1.9661856e-02	 1.6676718e-01	 9.0216172e-03	 4.3622939e-02	 2.0107297e-03	 1.5919553e-02	 7.6125165e-04	 9.4340082e-03	 4.2000992e-04	 1.6275762e-03	 7.0604752e-05	 1.3099587e-03	 5.9065222e-05	 1.4894141e-04	 6.2663412e-06
 1.6500000e-01	 6.3226430e+03	 5.9543080e+02	 3.2574665e+01	 1.8251293e+00	 9.0452867e+00	 5.1303601e-01	 1.0290204e+00	 5.3911032e-02	 3.0102336e-01	 1.6055025e-02	 1.7155609e-01	 9.3307793e-03	 5.7194709e-02	 2.6447625e-03	 2.2949469e-02	 1.1046032e-03	 9.4827812e-03	 4.2737600e-04	 2.8834783e-03	 1.2428800e-04	 8.3348836e-04	 3.8131676e-05	 1.4395552e-04	 6.0778093e-06
 1.7000000e-01	 6.2158110e+03	 5.8580489e+02	 3.4762120e+01	 1.9482902e+00	 8.4738120e+00	 4.8314511e-01	 1.2000558e+00	 6.2998689e-02	 2.4320316e-01	 1.2993340e-02	 1.5969558e-01	 8.7415078e-03	 6.4610369e-02	 3.0049955e-03	 2.6351022e-02	 1.2816986e-03	 6.4881503e-03	 2.9692518e-04	 4.0587301e-03	 1.7785306e-04	 5.8792435e-04	 2.6300811e-05	 1.6645262e-04	 6.9859886e-06
 1.7500000e-01	 6.1079545e+03	 5.7607483e+02	 3.7131082e+01	 2.0831162e+00	 7.8334429e+00	 4.4905359e-01	 1.3731545e+00	 7.2286211e-02	 2.0775977e-01	 1.1042687e-02	 1.3511984e-01	 7.4485515e-03	 6.2107988e-02	 2.9126395e-03	 2.3457444e-02	 1.1554957e-03	 4.0405257e-03	 1.8313682e-04	 3.0250052e-03	 1.3516941e-04	 1.2338089e-03	 5.5438579e-05	 1.2531560e-04	 5.3058341e-06
