# Time	0_mean	0_err	1_mean	1_err	2_mean	2_err	3_mean	3_err	4_mean	4_err	5_mean	5_err	6_mean	6_err	7_mean	7_err	8_mean	8_err	9_mean	9_err	10_mean	10_err	11_mean	11_err
 0.0000000e+00	 1.0100162e+04	 9.2773351e+02	 8.6041708e+01	 7.1254813e+00	 1.0844292e+01	 6.8338439e-01	 2.0940736e+00	 8.5185837e-02	 5.8173809e-01	 2.2045183e-02	 2.2793897e-01	 9.0316610e-03	 8.1229910e-02	 2.6516823e-03	 3.1540458e-02	 9.7488818e-04	 1.1999981e-02	 3.9323630e-04	 5.0448054e-03	 1.4618953e-04	 1.5204666e-03	 4.1565417e-05	 2.9379783e-04	 5.7478161e-06
 5.0000000e-03	 1.0098251e+04	 9.2761641e+02	 8.5811441e+01	 7.1082649e+00	 1.0758145e+01	 6.7825824e-01	 2.0577160e+00	 8.3748396e-02	 5.6318134e-01	 2.1351605e-02	 2.1576034e-01	 8.5607196e-03	 7.4312539e-02	 2.4310785e-03	 2.7400268e-02	 8.4864490e-04	 9.6155235e-03	 3.1586036e-04	 3.5305946e-03	 1.0254607e-04	 8.2429211e-04	 2.2647808e-05	 9.6982937e-05	 2.0017155e-06
 1.0000000e-02	 1.0091108e+04	 9.2705714e+02	 8.5142368e+01	 7.0566818e+00	 1.0507682e+01	 6.6326109e-01	 1.9536718e+00	 7.9629635e-02	 5.1155406e-01	 1.9429413e-02	 1.8334771e-01	 7.3006993e-03	 5.7187036e-02	 1.8807383e-03	 1.8255013e-02	 5.6777480e-04	 5.2822523e-03	 1.7384290e-04	 1.6647533e-03	 4.8114021e-05	 5.9748048e-04	 1.6158422e-05	 2.6726823e-04	 5.2410660e-06
 1.5000000e-02	 1.0078819e+04	 9.2606256e+02	 8.4050966e+01	 6.9719303e+00	 1.0106566e+01	 6.3916643e-01	 1.7932270e+00	 7.3259943e-02	 4.3676759e-01	 1.6639534e-02	 1.4090781e-01	 5.6371326e-03	 3.8328321e-02	 1.2652834e-03	 1.1003846e-02	 3.4005286e-04	 3.8894744e-03	 1.2472384e-04	 2.5620642e-03	 7.3376597e-05	 1.3324948e-03	 3.6390406e-05	 1.0471537e-04	 2.1569528e-06
 2.0000000e-02	 1.0061452e+04	 9.2463727e+02	 8.2557469e+01	 6.8554600e+00	 9.5741299e+00	 6.0706935e-01	 1.5925891e+00	 6.5258192e-02	 3.5247088e-01	 1.3479467e-02	 1.0122740e-01	 4.0563723e-03	 2.6620536e-02	 8.6651381e-04	 1.0736615e-02	 3.2354310e-04	 6.6716726e-03	 2.1199423e-04	 4.3706391e-03	 1.2695329e-04	 9.6683496e-04	 2.7130448e-05	 2.4045691e-04	 4.7447727e-06
 2.5000000e-02	 1.0039064e+04	 9.2278523e+02	 8.0686678e+01	 6.7090422e+00	 8.9347961e+00	 5.6835929e-01	 1.3713276e+00	 5.6376029e-02	 2.7353971e-01	 1.0492370e-02	 7.5729804e-02	 2.9999598e-03	 2.7050981e-02	 8.5241274e-04	 1.7036965e-02	 5.1335422e-04	 1.0049781e-02	 3.2394230e-04	 3.8074386e-03	 1.1289121e-04	 4.9743607e-04	 1.3475875e-05	 1.1884607e-04	 2.4358409e-06
 3.0000000e-02	 1.0011710e+04	 9.2051057e+02	 7.8467845e+01	 6.5348313e+00	 8.2170381e+00	 5.2466381e-01	 1.1504455e+00	 4.7424137e-02	 2.1337979e-01	 8.1715968e-03	 7.1086094e-02	 2.7407600e-03	 3.8503033e-02	 1.2015867e-03	 2.4613858e-02	 7.5420820e-04	 9.9979822e-03	 3.2972983e-04	 1.9097869e-03	 5.7069635e-05	 1.1321674e-03	 3.0671091e-05	 2.1266042e-04	 4.1987740e-06
 3.5000000e-02	 9.9794556e+03	 9.1781811e+02	 7.5934566e+01	 6.3352787e+00	 7.4521697e+00	 4.7777947e-01	 9.5036099e-01	 3.9197954e-02	 1.8157302e-01	 6.8802663e-03	 8.7408210e-02	 3.3075139e-03	 5.4609443e-02	 1.7235777e-03	 2.7515594e-02	 8.6220950e-04	 6.6487021e-03	 2.2539986e-04	 1.9772568e-03	 5.6093691e-05	 1.0854131e-03	 3.0805268e-05	 1.3623011e-04	 2.7918395e-06
 4.0000000e-02	 9.9423614e+03	 9.1471164e+02	 7.3124300e+01	 6.1131551e+00	 6.6729235e+00	 4.2958882e-01	 7.8896927e-01	 3.2407446e-02	 1.8231841e-01	 6.7971845e-03	 1.1851517e-01	 4.4847971e-03	 6.7075086e-02	 2.1590144e-03	 2.3609071e-02	 7.5935887e-04	 3.9186657e-03	 1.3086394e-04	 3.7139008e-03	 1.0703341e-04	 4.9205279e-04	 1.3735571e-05	 1.8537623e-04	 3.6675527e-06
 4.5000000e-02	 9.9004966e+03	 9.1119534e+02	 7.0077955e+01	 5.8715212e+00	 5.9120691e+00	 3.8198765e-01	 6.7999090e-01	 2.7617356e-02	 2.1387901e-01	 7.8818724e-03	 1.5404159e-01	 5.8908983e-03	 6.9753318e-02	 2.3006422e-03	 1.6013548e-02	 5.2642101e-04	 4.8248849e-03	 1.5115693e-04	 3.9499384e-03	 1.1794287e-04	 9.2985634e-04	 2.4884555e-05	 1.5412436e-04	 3.1468352e-06
