# Time	0_mean	0_err	1_mean	1_err	2_mean	2_err	3_mean	3_err	4_mean	4_err	5_mean	5_err	6_mean	6_err	7_mean	7_err	8_mean	8_err	9_mean	9_err	10_mean	10_err	11_mean	11_err
 0.0000000e+00	 9.1196166e+03	 9.8109283e+02	 1.0397866e+02	 1.0956678e+01	 1.0868172e+01	 7.5765671e-01	 1.9308358e+00	 1.1656277e-01	 5.6842322e-01	 3.0184572e-02	 2.3364461e-01	 9.7086026e-03	 7.9642737e-02	 3.1816060e-03	 3.0639357e-02	 1.0661977e-03	 1.2326430e-02	 4.3903342e-04	 5.0722913e-03	 1.5216809e-04	 1.5290511e-03	 3.8104513e-05	 2.9253046e-04	 5.7542574e-06
 5.0000000e-03	 9.1166359e+03	 9.8085004e+02	 1.0371483e+02	 1.0931918e+01	 1.0782480e+01	 7.5191624e-01	 1.8976110e+00	 1.1463364e-01	 5.5042710e-01	 2.9254911e-02	 2.2133213e-01	 9.2192149e-03	 7.2918366e-02	 2.9213362e-03	 2.6648797e-02	 9.3073065e-04	 9.8969229e-03	 3.5417242e-04	 3.5589345e-03	 1.0746520e-04	 8.3124869e-04	 2.0873483e-05	 9.4943818e-05	 1.9187241e-06
 1.0000000e-02	 9.1089372e+03	 9.8014204e+02	 1.0293367e+02	 1.0855511e+01	 1.0533364e+01	 7.3525707e-01	 1.8027323e+00	 1.0913203e-01	 5.0047647e-01	 2.6674676e-02	 1.8855533e-01	 7.9106791e-03	 5.6258142e-02	 2.2722609e-03	 1.7805452e-02	 6.2768420e-04	 5.4410260e-03	 1.9575560e-04	 1.6527291e-03	 4.9520456e-05	 5.7369051e-04	 1.3816905e-05	 2.5720521e-04	 5.0465424e-06
 1.5000000e-02	 9.0965980e+03	 9.7897589e+02	 1.0165368e+02	 1.0729204e+01	 1.0134089e+01	 7.0851969e-01	 1.6562776e+00	 1.0061137e-01	 4.2795731e-01	 2.2910481e-02	 1.4538741e-01	 6.1628857e-03	 3.7729361e-02	 1.5359041e-03	 1.0641655e-02	 3.7416935e-04	 3.8724439e-03	 1.3336690e-04	 2.4573923e-03	 7.0964646e-05	 1.3021870e-03	 3.2051033e-05	 1.0722137e-04	 2.2155345e-06
 2.0000000e-02	 9.0796782e+03	 9.7735667e+02	 9.9897464e+01	 1.0555042e+01	 9.6034942e+00	 6.7290463e-01	 1.4727700e+00	 8.9870373e-02	 3.4584009e-01	 1.8611011e-02	 1.0452466e-01	 4.4600086e-03	 2.5867049e-02	 1.0366642e-03	 1.0077523e-02	 3.4015666e-04	 6.5753445e-03	 2.2257436e-04	 4.3024816e-03	 1.2750005e-04	 9.9720385e-04	 2.5911595e-05	 2.2285778e-04	 4.3493762e-06
 2.5000000e-02	 9.0582275e+03	 9.7528824e+02	 9.7692809e+01	 1.0335538e+01	 8.9655926e+00	 6.2994586e-01	 1.2698599e+00	 7.7890086e-02	 2.6835905e-01	 1.4493861e-02	 7.7479886e-02	 3.2526176e-03	 2.5647819e-02	 9.7703602e-04	 1.5948722e-02	 5.3126314e-04	 1.0132034e-02	 3.5316456e-04	 3.9108372e-03	 1.2101187e-04	 4.8575015e-04	 1.1854343e-05	 1.2597449e-04	 2.6913534e-06
 3.0000000e-02	 9.0322976e+03	 9.7277546e+02	 9.5072875e+01	 1.0073827e+01	 8.2484571e+00	 5.8144352e-01	 1.0665851e+00	 6.5736021e-02	 2.0847307e-01	 1.1222006e-02	 7.1253842e-02	 2.8413252e-03	 3.6350953e-02	 1.3527271e-03	 2.3437219e-02	 7.9369165e-04	 1.0406755e-02	 3.7825600e-04	 2.0163097e-03	 6.4086290e-05	 1.0676357e-03	 2.5384298e-05	 1.8951959e-04	 3.6486070e-06
 3.5000000e-02	 9.0019473e+03	 9.6982367e+02	 9.2076142e+01	 9.7735146e+00	 7.4831462e+00	 5.2939932e-01	 8.8157359e-01	 5.4465262e-02	 1.7564217e-01	 9.2992208e-03	 8.6501425e-02	 3.3030862e-03	 5.2190448e-02	 1.9635011e-03	 2.6805871e-02	 9.3247673e-04	 7.1716705e-03	 2.7302398e-04	 1.8639982e-03	 5.2911890e-05	 1.1195567e-03	 2.9161439e-05	 1.4559652e-04	 3.1816681e-06
 4.0000000e-02	 8.9672303e+03	 9.6643786e+02	 8.8745372e+01	 9.4386289e+00	 6.7022029e+00	 4.7591439e-01	 7.3130171e-01	 4.5032340e-02	 1.7435121e-01	 8.9970693e-03	 1.1764740e-01	 4.4695642e-03	 6.5244105e-02	 2.5159087e-03	 2.3615280e-02	 8.4964687e-04	 4.1569891e-03	 1.5546634e-04	 3.5430677e-03	 1.0211947e-04	 5.1639965e-04	 1.3694976e-05	 1.6051202e-04	 3.0285809e-06
 4.5000000e-02	 8.9282143e+03	 9.6262365e+02	 8.5128047e+01	 9.0737020e+00	 5.9383470e+00	 4.2311027e-01	 6.2854762e-01	 3.8209777e-02	 2.0344687e-01	 1.0307547e-02	 1.5470025e-01	 5.9865151e-03	 6.9231351e-02	 2.7553103e-03	 1.6401402e-02	 6.1049162e-04	 4.6630998e-03	 1.5365793e-04	 4.0433186e-03	 1.2457450e-04	 8.4548279e-04	 1.9557825e-05	 1.6191082e-04	 3.5460298e-06
 5.0000000e-02	 8.8849576e+03	 9.5838616e+02	 8.1274845e+01	 8.6835039e+00	 5.2230696e+00	 3.7304662e-01	 5.8137309e-01	 3.4535547e-02	 2.5659987e-01	 1.2948253e-02	 1.8629631e-01	 7.4182783e-03	 6.2407106e-02	 2.5775553e-03	 1.0582178e-02	 3.8909195e-04	 7.8720612e-03	 2.6177262e-04	 2.5351349e-03	 8.3412461e-05	 1.1584568e-03	 2.9668932e-05	 1.3764269e-04	 2.5615796e-06
 5.5000000e-02	 8.8375281e+03	 9.5373142e+02	 7.7239322e+01	 8.2731300e+00	 4.5853003e+00	 3.2763810e-01	 5.9246895e-01	 3.4269475e-02	 3.2351332e-01	 1.6424635e-02	 2.0302557e-01	 8.3638454e-03	 4.8268412e-02	 2.0729628e-03	 1.0302764e-02	 3.4349015e-04	 9.9864345e-03	 3.5375542e-04	 1.6565627e-03	 4.9258270e-05	 6.2159845e-04	 1.7557932e-05	 1.7444114e-04	 3.7893526e-06
 6.0000000e-02	 8.7860020e+03	 9.4866665e+02	 7.3077078e+01	 7.8478651e+00	 4.0501886e+00	 2.8857938e-01	 6.5903405e-01	 3.7361813e-02	 3.9179422e-01	 2.0120937e-02	 2.0014210e-01	 8.5648826e-03	 3.3719645e-02	 1.4788591e-03	 1.5424178e-02	 5.0098941e-04	 8.6273777e-03	 3.2955397e-04	 2.8310266e-03	 7.9504894e-05	 6.6834965e-04	 1.5236555e-05	 1.2010707e-04	 2.2758375e-06
 6.5000000e-02	 8.7304622e+03	 9.4319944e+02	 6.8844932e+01	 7.4131165e+00	 3.6380383e+00	 2.5729073e-01	 7.7314055e-01	 4.3453793e-02	 4.4913541e-01	 2.3399866e-02	 1.7887451e-01	 7.9775801e-03	 2.5597586e-02	 1.0654288e-03	 2.1833111e-02	 7.3246530e-04	 5.4322696e-03	 2.1876685e-04	 3.9105863e-03	 1.1843375e-04	 1.1096203e-03	 2.7466100e-05	 1.8083738e-04	 3.8633025e-06
 7.0000000e-02	 8.6709906e+03	 9.3733700e+02	 6.4600037e+01	 6.9743512e+00	 3.3639126e+00	 2.3489797e-01	 9.2269151e-01	 5.1937107e-02	 4.8539119e-01	 2.5704169e-02	 1.4586735e-01	 6.7788307e-03	 2.7394845e-02	 1.0193726e-03	 2.4642856e-02	 8.6635588e-04	 4.0219960e-03	 1.4335945e-04	 3.0211133e-03	 1.0021034e-04	 7.4956289e-04	 2.1534408e-05	 1.1007645e-04	 2.1749287e-06
 7.5000000e-02	 8.6076787e+03	 9.3108743e+02	 6.0399215e+01	 6.5370013e+00	 3.2366518e+00	 2.2216813e-01	 1.0925162e+00	 6.2009253e-02	 4.9438083e-01	 2.6653406e-02	 1.1110746e-01	 5.3127760e-03	 3.7737711e-02	 1.3460572e-03	 2.1839181e-02	 8.0957433e-04	 5.8446728e-03	 1.8647842e-04	 1.7525367e-03	 5.6669402e-05	 5.6616534e-04	 1.3418341e-05	 1.8125996e-04	 3.7693192e-06
 8.0000000e-02	 8.5406258e+03	 9.2445987e+02	 5.6297869e+01	 6.1063740e+00	 3.2586292e+00	 2.1947724e-01	 1.2658358e+00	 7.2744735e-02	 4.7491372e-01	 2.6105419e-02	 8.4796892e-02	 3.9892432e-03	 5.1257099e-02	 1.8696183e-03	 1.5660352e-02	 6.0818894e-04	 8.6580649e-03	 2.9132655e-04	 2.2573909e-03	 6.2429689e-05	 9.9756026e-04	 2.3674271e-05	 1.0512838e-04	 2.2147394e-06
 8.5000000e-02	 8.4699334e+03	 9.1746373e+02	 5.2349473e+01	 5.6876327e+00	 3.4261667e+00	 2.2679435e-01	 1.4258533e+00	 8.3175073e-02	 4.3084315e-01	 2.4175237e-02	 7.4274735e-02	 3.1755626e-03	 6.1283695e-02	 2.3409582e-03	 1.0750338e-02	 4.0690140e-04	 9.2078768e-03	 3.3916929e-04	 3.5377689e-03	 1.0473171e-04	 8.5285065e-04	 2.4064326e-05	 1.7835582e-04	 3.5913954e-06
 9.0000000e-02	 8.3957031e+03	 9.1010810e+02	 4.8605425e+01	 5.2857782e+00	 3.7296912e+00	 2.4367711e-01	 1.5572684e+00	 9.2366210e-02	 3.7028674e-01	 2.1208510e-02	 8.1969782e-02	 3.1071759e-03	 6.3030148e-02	 2.5455870e-03	 1.0621095e-02	 3.4964299e-04	 6.9244448e-03	 2.7974143e-04	 3.3330478e-03	 1.1003828e-04	 5.4082610e-04	 1.4155157e-05	 1.0553303e-04	 2.3819686e-06
 9.5000000e-02	 8.3180439e+03	 9.0240274e+02	 4.5113335e+01	 4.9055181e+00	 4.1538608e+00	 2.6926713e-01	 1.6477809e+00	 9.9504288e-02	 3.0414886e-01	 1.7719295e-02	 1.0485357e-01	 3.7818082e-03	 5.5843432e-02	 2.3964014e-03	 1.5116121e-02	 4.7877177e-04	 4.4714733e-03	 1.7962533e-04	 2.0508196e-03	 7.1144942e-05	 8.7181670e-04	 1.9952196e-05	 1.7032932e-04	 3.3438817e-06
 1.0000000e-01	 8.2370764e+03	 8.9435837e+02	 4.1916469e+01	 4.5511834e+00	 4.6783172e+00	 3.0235016e-01	 1.6892048e+00	 1.0397099e-01	 2.4406838e-01	 1.4295695e-02	 1.3554503e-01	 4.9619811e-03	 4.3391435e-02	 1.9688507e-03	 2.0687236e-02	 6.8487682e-04	 4.5961858e-03	 1.5045654e-04	 1.9050694e-03	 5.3771628e-05	 9.1136543e-04	 2.4723175e-05	 1.0879670e-04	 2.5470328e-06
 1.0500000e-01	 8.1529207e+03	 8.8598586e+02	 3.9054335e+01	 4.2268022e+00	 5.2788568e+00	 3.4144531e-01	 1.6780892e+00	 1.0538882e-01	 2.0029024e-01	 1.1499229e-02	 1.6460820e-01	 6.2953530e-03	 3.1741750e-02	 1.4605290e-03	 2.3126189e-02	 8.1518994e-04	 7.0131471e-03	 2.2415219e-04	 3.0320915e-03	 8.6758182e-05	 5.6226330e-04	 1.6106335e-05	 1.6100040e-04	 3.1241211e-06
 1.1000000e-01	 8.0656934e+03	 8.7729640e+02	 3.6561654e+01	 3.9360381e+00	 5.9283877e+00	 3.8486716e-01	 1.6160226e+00	 1.0365981e-01	 1.7990539e-01	 9.7869163e-03	 1.8333819e-01	 7.4081507e-03	 2.6366459e-02	 1.1023861e-03	 2.0683364e-02	 7.8096224e-04	 8.8599863e-03	 3.0988601e-04	 3.4054824e-03	 1.0998069e-04	 7.5775536e-04	 1.7060355e-05	 1.1452520e-04	 2.7307227e-06
 1.1500000e-01	 7.9755197e+03	 8.6830154e+02	 3.4468443e+01	 3.6821513e+00	 6.5980638e+00	 4.3078929e-01	 1.5094350e+00	 9.8971704e-02	 1.8571128e-01	 9.4486070e-03	 1.8629785e-01	 7.9942216e-03	 2.9552583e-02	 1.0682185e-03	 1.5295453e-02	 6.1217307e-04	 8.0416301e-03	 3.1453951e-04	 2.4170993e-03	 8.6196932e-05	 9.3767566e-04	 2.4247869e-05	 1.5105384e-04	 2.9409211e-06
 1.2000000e-01	 7.8825296e+03	 8.5901303e+02	 3.2798667e+01	 3.4679724e+00	 7.2583784e+00	 4.7729798e-01	 1.3689868e+00	 9.1778503e-02	 2.1582461e-01	 1.0522524e-02	 1.7290215e-01	 7.8977757e-03	 3.9434188e-02	 1.3657703e-03	 1.1041724e-02	 4.3027437e-04	 5.5709780e-03	 2.3604235e-04	 1.8133836e-03	 5.5507130e-05	 6.2005627e-04	 1.8562751e-05	 1.2069809e-04	 2.8870049e-06
